Stat;EN04;;;;;
Parm;PM10;NOX;NO;NO2;CO;
Unit;ug/m3;ug/m3 293K;ug/m3 293K;ug/m3 293K;mg/m3 293K;
01/01/20 01:00;115,35;36,69;9,75;21,75;1,05;
01/01/20 02:00;112,32;18,33;4,04;12,13;0,98;
01/01/20 03:00;30,58;14,23;3,19;9,33;0,96;
01/01/20 04:00;18,65;12,79;3,13;7,98;0,95;
01/01/20 05:00;18,52;12,29;2,78;8,04;0,95;
01/01/20 06:00;16,41;14,48;2,68;10,37;0,94;
01/01/20 07:00;16,90;17,76;2,84;13,41;0,95;
01/01/20 08:00;17,68;14,33;2,95;9,81;0,97;
01/01/20 09:00;18,89;12,34;2,93;7,85;0,97;
01/01/20 10:00;14,48;12,64;3,17;7,78;0,96;
01/01/20 11:00;21,36;13,91;3,48;8,58;0,98;
01/01/20 12:00;12,42;14,71;3,69;9,05;;
01/01/20 13:00;16,33;17,71;4,23;11,23;1,00;
01/01/20 14:00;21,53;20,33;4,71;13,11;1,00;
01/01/20 15:00;24,38;14,46;3,40;9,24;0,98;
01/01/20 16:00;17,54;12,19;2,96;7,65;0,98;
01/01/20 17:00;16,26;12,13;2,76;7,89;0,98;
01/01/20 18:00;16,12;16,40;2,72;12,22;0,98;
01/01/20 19:00;19,86;19,29;2,72;15,13;1,00;
01/01/20 20:00;16,20;21,49;2,87;17,08;0,98;
01/01/20 21:00;16,87;22,34;3,32;17,25;0,99;
01/01/20 22:00;17,77;19,74;3,39;14,55;0,97;
01/01/20 23:00;14,01;21,24;3,18;16,36;0,97;
02/01/20 00:00;19,84;;;;0,96;
02/01/20 01:00;12,21;19,72;3,14;14,91;0,95;
02/01/20 02:00;10,80;13,05;2,77;8,81;0,97;
02/01/20 03:00;18,82;12,78;2,61;8,80;0,99;
02/01/20 04:00;24,55;12,14;2,72;7,97;1,02;
02/01/20 05:00;23,03;16,18;2,68;12,08;1,05;
02/01/20 06:00;29,47;41,08;6,90;30,50;1,10;
02/01/20 07:00;29,46;27,27;4,80;19,90;1,09;
02/01/20 08:00;29,07;49,62;9,84;34,54;1,13;
02/01/20 09:00;33,17;41,40;8,26;28,74;1,13;
02/01/20 10:00;32,44;30,67;6,69;20,41;1,08;
02/01/20 11:00;28,91;37,60;8,54;24,50;1,09;
02/01/20 12:00;20,73;35,51;8,14;23,03;1,06;
02/01/20 13:00;19,35;30,30;7,41;18,97;1,02;
02/01/20 14:00;10,78;28,68;6,42;18,85;0,99;
02/01/20 15:00;10,74;26,46;5,67;17,77;1,01;
02/01/20 16:00;19,70;34,48;6,58;24,39;1,00;
02/01/20 17:00;13,29;29,90;4,49;23,03;1,02;
02/01/20 18:00;25,98;57,79;9,23;43,65;1,08;
02/01/20 19:00;27,17;50,34;6,49;40,40;1,07;
02/01/20 20:00;30,88;65,33;7,20;54,29;1,16;
02/01/20 21:00;52,61;62,71;8,52;49,65;1,22;
02/01/20 22:00;49,31;48,11;5,41;39,82;1,18;
02/01/20 23:00;38,06;26,04;3,44;20,75;1,11;
03/01/20 00:00;26,02;18,27;3,59;12,80;;
03/01/20 01:00;17,09;17,57;3,08;12,84;1,06;
03/01/20 02:00;24,57;13,47;2,90;9,03;1,05;
03/01/20 03:00;32,88;13,32;3,03;8,67;1,05;
03/01/20 04:00;37,93;13,97;2,90;9,53;1,05;
03/01/20 05:00;27,72;14,94;2,90;10,49;1,05;
03/01/20 06:00;31,49;17,73;3,18;12,86;1,06;
03/01/20 07:00;25,74;34,84;4,45;28,02;1,08;
03/01/20 08:00;27,36;48,11;7,05;37,29;1,10;
03/01/20 09:00;38,65;73,45;15,87;49,11;1,21;
03/01/20 10:00;47,61;41,23;8,64;27,99;1,21;
03/01/20 11:00;37,95;31,28;6,38;21,50;1,18;
03/01/20 12:00;38,25;201,68;121,16;16,74;;
03/01/20 13:00;;;;;0,49;
03/01/20 14:00;24,74;35,47;4,26;28,95;0,50;
03/01/20 15:00;37,43;37,06;4,64;29,95;0,49;
03/01/20 16:00;25,60;35,29;3,64;29,72;0,46;
03/01/20 17:00;21,75;69,47;9,12;55,48;0,50;
03/01/20 18:00;43,72;198,80;63,24;101,83;0,72;
03/01/20 19:00;71,25;227,63;81,61;102,51;0,78;
03/01/20 20:00;71,96;200,49;72,46;89,39;0,90;
03/01/20 21:00;61,41;88,41;16,83;62,60;0,57;
03/01/20 22:00;42,79;;;;0,47;
03/01/20 23:00;35,79;45,88;4,35;39,21;0,41;
04/01/20 00:00;29,71;30,24;2,45;26,49;0,44;
04/01/20 01:00;41,29;33,55;2,72;29,37;0,42;
04/01/20 02:00;41,40;39,83;2,82;35,51;0,44;
04/01/20 03:00;33,39;35,67;2,26;32,20;0,45;
04/01/20 04:00;28,80;29,38;2,13;26,11;0,39;
04/01/20 05:00;35,16;24,89;1,83;22,08;0,38;
04/01/20 06:00;37,90;49,08;4,39;42,35;0,45;
04/01/20 07:00;40,37;40,97;4,34;34,32;0,44;
04/01/20 08:00;51,13;34,28;3,55;28,86;0,50;
04/01/20 09:00;55,36;30,65;3,90;24,67;0,53;
04/01/20 10:00;48,50;35,24;5,12;27,37;0,55;
04/01/20 11:00;33,49;27,80;4,34;21,17;0,49;
04/01/20 12:00;27,85;26,16;3,42;20,92;;
04/01/20 13:00;16,77;25,40;3,30;20,34;0,45;
04/01/20 14:00;21,69;26,14;3,15;21,31;0,45;
04/01/20 15:00;21,44;26,06;2,95;21,54;0,45;
04/01/20 16:00;24,96;25,37;2,54;21,47;0,44;
04/01/20 17:00;24,03;39,15;3,77;33,37;0,46;
04/01/20 18:00;27,03;44,07;5,14;36,19;0,48;
04/01/20 19:00;34,93;39,67;4,27;33,12;0,48;
04/01/20 20:00;36,28;49,35;5,34;41,16;0,53;
04/01/20 21:00;33,33;38,29;4,45;31,48;0,47;
04/01/20 22:00;28,08;27,33;2,83;22,99;0,42;
04/01/20 23:00;16,78;21,94;1,73;19,29;0,42;
05/01/20 00:00;16,78;25,39;2,16;22,08;0,47;
05/01/20 01:00;26,25;22,06;1,76;19,36;0,46;
05/01/20 02:00;30,71;15,98;1,70;13,38;0,43;
05/01/20 03:00;21,63;13,34;1,29;11,37;0,41;
05/01/20 04:00;24,89;13,33;1,12;11,62;0,41;
05/01/20 05:00;19,04;13,25;1,11;11,54;0,41;
05/01/20 06:00;28,11;12,94;1,10;11,25;0,42;
05/01/20 07:00;21,77;12,74;1,14;10,98;0,40;
05/01/20 08:00;16,12;13,76;1,18;11,95;0,41;
05/01/20 09:00;15,81;12,01;1,25;10,10;0,37;
05/01/20 10:00;16,35;13,42;1,44;11,23;0,36;
05/01/20 11:00;13,86;13,42;1,73;10,75;0,35;
05/01/20 12:00;16,04;13,74;1,94;10,79;0,35;
05/01/20 13:00;26,21;12,67;1,85;9,84;0,34;
05/01/20 14:00;22,28;12,55;1,80;9,79;0,34;
05/01/20 15:00;25,48;7,94;1,12;6,22;0,30;
05/01/20 16:00;19,96;7,78;1,06;6,15;0,28;
05/01/20 17:00;18,09;8,39;1,02;6,84;0,28;
05/01/20 18:00;21,17;9,49;1,09;7,81;0,29;
05/01/20 19:00;20,05;10,97;1,13;9,23;0,30;
05/01/20 20:00;14,26;;;;0,30;
05/01/20 21:00;20,08;11,96;1,14;10,21;0,30;
05/01/20 22:00;22,14;10,80;1,08;9,14;0,30;
05/01/20 23:00;20,11;9,50;1,00;7,96;0,30;
06/01/20 00:00;10,55;8,05;0,94;6,61;;
06/01/20 01:00;30,32;7,01;0,88;5,66;0,29;
06/01/20 02:00;32,91;6,35;0,85;5,05;0,29;
06/01/20 03:00;17,38;6,07;0,78;4,87;0,29;
06/01/20 04:00;14,04;5,80;0,78;4,61;0,29;
06/01/20 05:00;19,76;6,10;0,80;4,87;0,30;
06/01/20 06:00;14,73;6,35;0,83;5,07;0,30;
06/01/20 07:00;18,85;8,30;1,22;6,44;0,33;
06/01/20 08:00;19,33;9,62;1,33;7,58;0,32;
06/01/20 09:00;21,61;9,95;1,39;7,82;0,32;
06/01/20 10:00;14,75;11,21;1,55;8,83;0,33;
06/01/20 11:00;18,86;13,90;1,93;10,94;0,34;
06/01/20 12:00;20,96;14,63;2,23;11,20;0,35;
06/01/20 13:00;18,49;20,07;2,69;15,93;0,36;
06/01/20 14:00;16,66;16,20;1,87;13,34;0,34;
06/01/20 15:00;19,53;13,57;1,87;10,70;0,36;
06/01/20 16:00;16,99;11,45;1,64;8,94;0,34;
06/01/20 17:00;14,93;12,87;1,61;10,40;0,34;
06/01/20 18:00;14,91;12,78;1,32;10,76;0,34;
06/01/20 19:00;12,10;13,26;1,13;11,53;0,34;
06/01/20 20:00;17,16;14,87;1,17;13,07;0,34;
06/01/20 21:00;17,47;15,42;1,18;13,61;0,35;
06/01/20 22:00;15,49;14,36;1,12;12,65;0,34;
06/01/20 23:00;16,30;10,61;0,93;9,18;0,34;
07/01/20 00:00;14,44;9,23;0,81;8,00;0,34;
07/01/20 01:00;26,65;7,88;0,77;6,70;0,34;
07/01/20 02:00;30,99;7,97;0,77;6,81;0,33;
07/01/20 03:00;15,50;9,13;0,81;7,89;0,33;
07/01/20 04:00;10,42;9,65;0,86;8,34;0,34;
07/01/20 05:00;16,86;9,37;0,82;8,11;0,35;
07/01/20 06:00;10,93;12,61;1,39;10,51;0,35;
07/01/20 07:00;18,07;23,49;2,86;19,10;0,37;
07/01/20 08:00;16,01;39,11;5,25;31,08;0,42;
07/01/20 09:00;30,60;44,43;7,05;33,62;0,47;
07/01/20 10:00;23,96;23,57;3,36;18,41;0,40;
07/01/20 11:00;19,52;24,88;3,92;18,87;0,39;
07/01/20 12:00;13,93;22,85;3,70;17,17;;
07/01/20 13:00;15,67;19,25;3,00;14,65;0,38;
07/01/20 14:00;13,43;25,12;4,41;18,36;0,39;
07/01/20 15:00;18,61;36,37;6,39;26,83;0,41;
07/01/20 16:00;21,77;73,10;10,77;56,95;0,42;
07/01/20 17:00;18,56;38,37;4,44;31,56;0,44;
07/01/20 18:00;31,86;;;;0,49;
07/01/20 19:00;32,09;61,52;4,57;54,51;0,52;
07/01/20 20:00;27,88;40,75;3,31;35,68;0,49;
07/01/20 21:00;31,37;62,14;6,15;52,71;0,56;
07/01/20 22:00;41,02;41,45;2,41;37,76;0,52;
07/01/20 23:00;32,49;35,85;1,91;32,92;0,51;
08/01/20 00:00;27,43;25,91;1,63;23,45;0,49;
08/01/20 01:00;27,82;21,31;1,29;19,34;0,47;
08/01/20 02:00;32,46;22,10;1,31;20,10;0,45;
08/01/20 03:00;25,57;16,55;1,35;14,49;0,44;
08/01/20 04:00;26,07;15,08;1,15;13,31;0,45;
08/01/20 05:00;23,30;21,08;1,53;18,73;0,45;
08/01/20 06:00;23,29;33,56;4,08;27,29;0,48;
08/01/20 07:00;24,03;44,71;4,74;37,44;0,51;
08/01/20 08:00;29,42;59,92;10,12;44,41;0,58;
08/01/20 09:00;37,96;80,49;19,20;51,07;0,82;
08/01/20 10:00;49,81;43,24;7,89;31,16;0,58;
08/01/20 11:00;32,95;37,84;6,21;28,32;0,52;
08/01/20 12:00;19,13;37,81;6,68;27,58;0,47;
08/01/20 13:00;15,45;28,37;4,41;21,61;0,44;
08/01/20 14:00;15,65;26,79;3,75;21,05;0,41;
08/01/20 15:00;11,08;17,17;1,85;14,33;0,37;
08/01/20 16:00;16,63;30,98;2,99;26,40;0,41;
08/01/20 17:00;13,49;80,35;9,93;65,13;0,49;
08/01/20 18:00;33,46;112,77;14,07;91,20;0,58;
08/01/20 19:00;38,13;70,26;5,38;62,01;0,59;
08/01/20 20:00;42,07;83,15;7,42;71,78;0,64;
08/01/20 21:00;50,50;70,53;6,70;60,25;0,65;
08/01/20 22:00;43,74;48,06;3,48;42,73;0,60;
08/01/20 23:00;33,95;27,24;2,02;24,14;0,54;
09/01/20 00:00;29,90;23,12;1,78;20,40;;
09/01/20 01:00;32,98;19,58;1,49;17,29;0,53;
09/01/20 02:00;34,64;17,81;1,28;15,85;0,52;
09/01/20 03:00;33,08;13,92;1,26;11,98;0,52;
09/01/20 04:00;31,30;12,99;1,23;11,10;0,52;
09/01/20 05:00;29,81;13,16;1,26;11,23;0,51;
09/01/20 06:00;21,14;29,57;2,84;25,22;0,52;
09/01/20 07:00;23,63;40,13;3,35;35,00;0,55;
09/01/20 08:00;34,45;67,36;11,21;50,17;0,60;
09/01/20 09:00;39,30;92,19;21,04;59,93;0,72;
09/01/20 10:00;48,03;56,03;10,49;39,95;0,65;
09/01/20 11:00;40,69;33,78;5,09;25,99;0,58;
09/01/20 12:00;52,62;46,19;8,74;32,79;0,54;
09/01/20 13:00;49,52;27,98;3,95;21,93;0,51;
09/01/20 14:00;24,66;33,44;4,67;26,31;0,54;
09/01/20 15:00;34,66;48,18;7,26;37,09;0,54;
09/01/20 16:00;25,63;;;;0,57;
09/01/20 17:00;34,21;90,89;9,67;76,06;0,61;
09/01/20 18:00;36,72;155,25;30,97;107,76;0,67;
09/01/20 19:00;58,35;228,32;75,32;112,83;0,84;
09/01/20 20:00;82,37;296,94;123,21;108,03;1,14;
09/01/20 21:00;96,93;167,66;54,18;84,58;1,03;
09/01/20 22:00;69,53;133,24;35,65;78,58;0,88;
09/01/20 23:00;45,79;89,34;13,23;69,05;0,73;
10/01/20 00:00;27,95;60,75;4,45;53,93;0,63;
10/01/20 01:00;41,84;64,90;5,33;56,73;0,57;
10/01/20 02:00;49,12;43,06;2,52;39,19;0,52;
10/01/20 03:00;41,73;42,37;2,33;38,80;0,52;
10/01/20 04:00;36,87;54,08;3,83;48,22;0,51;
10/01/20 05:00;27,56;43,54;3,63;37,97;0,52;
10/01/20 06:00;24,52;52,99;5,99;43,81;0,52;
10/01/20 07:00;22,68;105,46;24,06;68,58;0,63;
10/01/20 08:00;46,48;149,51;45,68;79,47;0,70;
10/01/20 09:00;62,74;274,12;111,59;103,03;0,96;
10/01/20 10:00;87,35;244,17;89,09;107,57;0,86;
10/01/20 11:00;69,89;85,80;16,93;59,83;0,62;
10/01/20 12:00;36,52;44,18;5,42;35,87;;
10/01/20 13:00;32,38;39,60;4,89;32,11;0,59;
10/01/20 14:00;37,00;38,56;4,31;31,95;0,61;
10/01/20 15:00;44,63;46,73;5,88;37,70;0,61;
10/01/20 16:00;35,67;48,04;4,53;41,08;0,58;
10/01/20 17:00;40,70;83,82;10,48;67,72;0,64;
10/01/20 18:00;48,47;81,67;5,93;72,57;0,68;
10/01/20 19:00;58,83;116,80;13,72;95,77;0,78;
10/01/20 20:00;63,35;72,33;6,74;62,00;0,71;
10/01/20 21:00;54,19;49,00;4,81;41,63;0,66;
10/01/20 22:00;37,80;40,79;3,80;34,96;0,60;
10/01/20 23:00;28,97;24,90;2,12;21,64;0,57;
11/01/20 00:00;26,56;19,46;1,65;16,93;0,55;
11/01/20 01:00;28,05;18,58;1,67;16,03;0,53;
11/01/20 02:00;25,84;11,76;1,32;9,74;0,52;
11/01/20 03:00;26,64;10,88;1,23;8,99;0,51;
11/01/20 04:00;23,15;11,71;1,32;9,69;0,50;
11/01/20 05:00;25,90;24,82;1,36;22,74;0,52;
11/01/20 06:00;40,84;42,56;3,11;37,78;0,55;
11/01/20 07:00;54,71;57,66;5,40;49,38;0,56;
11/01/20 08:00;52,73;65,31;6,37;55,55;0,61;
11/01/20 09:00;53,66;68,86;9,23;54,70;0,67;
11/01/20 10:00;62,92;51,05;7,12;40,14;0,65;
11/01/20 11:00;28,54;25,37;3,39;20,17;0,54;
11/01/20 12:00;17,42;21,65;2,98;17,08;0,53;
11/01/20 13:00;13,73;26,25;3,71;20,55;0,53;
11/01/20 14:00;19,56;;;;0,52;
11/01/20 15:00;24,64;20,89;2,38;17,24;0,52;
11/01/20 16:00;14,51;22,35;2,02;19,25;0,52;
11/01/20 17:00;19,46;20,35;1,69;17,73;0,54;
11/01/20 18:00;25,54;26,18;2,27;22,72;0,57;
11/01/20 19:00;26,18;27,87;2,25;24,43;0,56;
11/01/20 20:00;24,72;40,07;4,12;33,76;0,63;
11/01/20 21:00;35,61;35,36;2,90;30,91;0,66;
11/01/20 22:00;35,60;34,11;2,15;30,82;0,68;
11/01/20 23:00;39,26;34,58;2,30;31,06;0,70;
12/01/20 00:00;42,25;36,81;2,90;32,36;;
12/01/20 01:00;52,53;35,09;2,05;31,95;0,71;
12/01/20 02:00;67,33;33,46;2,07;30,29;0,73;
12/01/20 03:00;48,18;31,52;2,27;28,03;0,73;
12/01/20 04:00;44,80;27,54;1,90;24,62;0,70;
12/01/20 05:00;35,50;24,08;1,62;21,59;0,69;
12/01/20 06:00;34,64;22,93;2,14;19,65;0,67;
12/01/20 07:00;28,91;21,49;1,74;18,83;0,65;
12/01/20 08:00;24,31;23,75;2,21;20,34;0,70;
12/01/20 09:00;30,67;22,49;2,33;18,91;0,69;
12/01/20 10:00;32,70;22,10;2,59;18,12;0,68;
12/01/20 11:00;32,07;24,48;3,33;19,38;0,65;
12/01/20 12:00;24,43;29,00;4,17;22,63;0,66;
12/01/20 13:00;25,55;28,43;3,66;22,83;0,61;
12/01/20 14:00;22,26;26,58;3,02;21,95;0,58;
12/01/20 15:00;19,94;18,11;1,73;15,46;0,56;
12/01/20 16:00;18,54;16,23;1,45;14,01;0,53;
12/01/20 17:00;14,82;17,18;1,23;15,29;0,49;
12/01/20 18:00;8,62;21,13;1,18;19,33;0,51;
12/01/20 19:00;11,61;30,13;1,51;27,82;0,55;
12/01/20 20:00;15,07;66,74;5,34;58,56;0,59;
12/01/20 21:00;26,85;51,63;2,66;47,55;0,63;
12/01/20 22:00;42,95;40,47;2,85;36,10;0,65;
12/01/20 23:00;36,92;31,41;2,14;28,12;0,65;
13/01/20 00:00;33,89;23,94;1,92;21,00;0,60;
13/01/20 01:00;27,25;20,39;1,60;17,94;0,58;
13/01/20 02:00;17,06;15,55;1,37;13,44;0,53;
13/01/20 03:00;27,40;12,40;1,24;10,49;0,53;
13/01/20 04:00;16,98;17,04;1,32;15,02;0,53;
13/01/20 05:00;21,54;14,34;1,45;12,12;0,53;
13/01/20 06:00;29,20;28,36;2,61;24,36;0,56;
13/01/20 07:00;20,22;41,23;5,24;33,20;0,59;
13/01/20 08:00;25,19;76,22;16,94;50,27;0,70;
13/01/20 09:00;47,91;67,63;11,95;49,31;0,79;
13/01/20 10:00;45,47;45,02;6,62;34,86;0,68;
13/01/20 11:00;33,93;59,95;10,54;43,80;0,65;
13/01/20 12:00;28,47;;;;;
13/01/20 13:00;23,48;60,74;11,86;42,57;0,64;
13/01/20 14:00;24,28;58,76;11,06;41,80;0,70;
13/01/20 15:00;35,94;53,71;9,01;39,89;0,63;
13/01/20 16:00;28,27;49,68;8,10;37,23;0,62;
13/01/20 17:00;36,36;87,65;15,23;64,30;0,69;
13/01/20 18:00;50,53;146,14;36,93;89,52;0,81;
13/01/20 19:00;64,30;227,09;85,81;95,50;0,91;
13/01/20 20:00;65,38;224,13;85,24;93,43;0,97;
13/01/20 21:00;77,31;232,79;94,89;87,30;1,09;
13/01/20 22:00;72,22;112,21;29,59;66,85;1,02;
13/01/20 23:00;65,10;103,53;28,40;59,98;1,03;
14/01/20 00:00;60,40;72,27;14,51;50,01;0,88;
14/01/20 01:00;58,57;42,93;3,98;36,83;0,69;
14/01/20 02:00;59,91;41,75;3,60;36,22;0,65;
14/01/20 03:00;44,56;40,67;2,90;36,22;0,67;
14/01/20 04:00;41,51;41,78;4,78;34,46;0,73;
14/01/20 05:00;35,58;42,41;4,66;35,24;0,64;
14/01/20 06:00;39,54;56,64;8,74;43,23;0,70;
14/01/20 07:00;37,78;74,64;14,23;52,82;0,69;
14/01/20 08:00;23,34;113,20;28,23;69,92;0,74;
14/01/20 09:00;25,03;126,39;34,92;72,85;0,83;
14/01/20 10:00;32,08;96,17;21,51;63,20;0,74;
14/01/20 11:00;31,57;72,35;13,20;52,13;0,68;
14/01/20 12:00;;57,25;9,01;43,44;0,72;
14/01/20 13:00;79,77;44,12;7,71;32,32;0,69;
14/01/20 14:00;38,14;32,75;4,91;25,22;0,65;
14/01/20 15:00;31,74;49,85;9,08;35,93;0,67;
14/01/20 16:00;28,63;27,09;2,65;23,02;0,64;
14/01/20 17:00;28,37;61,77;6,38;51,99;0,70;
14/01/20 18:00;48,60;228,44;79,53;106,49;0,96;
14/01/20 19:00;65,39;261,66;101,14;106,57;1,19;
14/01/20 20:00;65,34;162,52;48,06;88,84;0,93;
14/01/20 21:00;64,75;82,84;15,70;58,76;0,77;
14/01/20 22:00;74,86;63,88;10,34;48,02;0,73;
14/01/20 23:00;70,85;54,52;6,79;44,12;0,73;
15/01/20 00:00;52,76;34,67;2,95;30,15;;
15/01/20 01:00;67,24;35,66;2,97;31,11;0,64;
15/01/20 02:00;61,66;35,82;2,88;31,41;0,68;
15/01/20 03:00;66,29;28,09;2,47;24,30;0,63;
15/01/20 04:00;52,57;31,82;2,44;28,08;0,63;
15/01/20 05:00;42,17;22,09;2,08;18,90;0,58;
15/01/20 06:00;40,36;40,31;3,15;35,47;0,60;
15/01/20 07:00;43,81;79,57;13,74;58,51;0,67;
15/01/20 08:00;53,00;177,75;61,44;83,57;0,82;
15/01/20 09:00;72,63;214,03;74,73;99,44;0,89;
15/01/20 10:00;82,57;;;;0,83;
15/01/20 11:00;66,67;82,73;15,66;58,75;0,78;
15/01/20 12:00;42,42;44,77;6,93;34,23;0,68;
15/01/20 13:00;21,40;30,23;4,12;23,91;0,64;
15/01/20 14:00;20,50;34,88;4,98;27,25;0,64;
15/01/20 15:00;26,06;31,15;3,76;25,38;0,66;
15/01/20 16:00;27,75;43,79;5,96;34,65;0,64;
15/01/20 17:00;27,25;69,13;7,58;57,54;0,67;
15/01/20 18:00;32,79;83,49;7,83;71,49;0,72;
15/01/20 19:00;41,72;93,34;7,91;81,20;0,78;
15/01/20 20:00;48,70;172,46;50,17;95,48;0,92;
15/01/20 21:00;58,49;109,55;23,66;73,33;0,85;
15/01/20 22:00;60,19;57,56;6,59;47,48;0,73;
15/01/20 23:00;40,60;25,39;2,42;21,68;0,64;
16/01/20 00:00;30,50;20,13;2,05;16,98;0,64;
16/01/20 01:00;37,85;21,49;1,61;19,02;0,63;
16/01/20 02:00;31,52;21,73;1,54;19,37;0,61;
16/01/20 03:00;28,62;18,22;1,49;15,93;0,59;
16/01/20 04:00;25,64;18,12;1,57;15,72;0,58;
16/01/20 05:00;24,20;16,21;2,02;13,10;0,58;
16/01/20 06:00;21,90;25,64;2,43;21,92;0,62;
16/01/20 07:00;29,85;40,54;4,32;33,91;0,67;
16/01/20 08:00;32,34;110,74;22,32;76,52;0,80;
16/01/20 09:00;48,67;;;;0,97;
16/01/20 10:00;45,34;;;;0,75;
16/01/20 11:00;34,38;;;;0,66;
16/01/20 12:00;20,98;;;;;
16/01/20 13:00;15,68;;;;0,64;
16/01/20 14:00;19,16;;;;0,65;
16/01/20 15:00;19,25;;;;0,60;
16/01/20 16:00;14,78;;;;0,60;
16/01/20 17:00;16,82;;;;0,66;
16/01/20 18:00;24,57;;;;0,67;
16/01/20 19:00;31,10;;;;0,72;
16/01/20 20:00;33,52;;;;0,76;
16/01/20 21:00;44,43;;;;0,78;
16/01/20 22:00;76,09;;;;0,81;
16/01/20 23:00;53,67;;;;0,80;
17/01/20 00:00;51,28;;;;0,79;
17/01/20 01:00;41,08;;;;0,78;
17/01/20 02:00;46,93;;;;0,75;
17/01/20 03:00;39,44;;;;0,74;
17/01/20 04:00;38,37;;;;0,73;
17/01/20 05:00;31,13;;;;0,73;
17/01/20 06:00;35,88;;;;0,74;
17/01/20 07:00;29,34;;;;0,74;
17/01/20 08:00;29,76;;;;0,81;
17/01/20 09:00;50,66;;;;0,95;
17/01/20 10:00;42,87;;;;0,81;
17/01/20 11:00;38,58;;;;0,75;
17/01/20 12:00;25,83;;;;0,70;
17/01/20 13:00;25,25;;;;0,72;
17/01/20 14:00;26,88;;;;0,74;
17/01/20 15:00;39,61;;;;0,73;
17/01/20 16:00;31,41;;;;0,71;
17/01/20 17:00;31,87;;;;0,76;
17/01/20 18:00;35,02;;;;0,78;
17/01/20 19:00;40,36;;;;0,82;
17/01/20 20:00;54,97;;;;0,93;
17/01/20 21:00;58,67;;;;0,87;
17/01/20 22:00;35,40;;;;0,69;
17/01/20 23:00;34,05;;;;0,67;
18/01/20 00:00;22,50;;;;;
18/01/20 01:00;27,04;;;;0,62;
18/01/20 02:00;31,60;;;;0,65;
18/01/20 03:00;42,07;;;;0,69;
18/01/20 04:00;45,68;;;;0,71;
18/01/20 05:00;40,43;;;;0,73;
18/01/20 06:00;34,68;;;;0,70;
18/01/20 07:00;31,27;;;;0,78;
18/01/20 08:00;33,53;;;;0,76;
18/01/20 09:00;63,16;;;;0,83;
18/01/20 10:00;25,07;;;;0,86;
18/01/20 11:00;29,46;472,06;26,83;430,90;0,81;
18/01/20 12:00;31,90;299,65;11,29;282,35;0,70;
18/01/20 13:00;33,89;239,09;8,86;225,50;0,74;
18/01/20 14:00;27,38;187,90;6,64;177,72;0,72;
18/01/20 15:00;23,86;163,00;5,32;154,84;0,71;
18/01/20 16:00;29,17;166,62;5,81;157,72;0,75;
18/01/20 17:00;28,24;154,47;6,14;145,05;0,75;
18/01/20 18:00;21,75;137,64;5,97;128,49;0,73;
18/01/20 19:00;32,83;;;;0,74;
18/01/20 20:00;23,28;119,35;5,24;111,32;0,75;
18/01/20 21:00;23,76;112,18;5,47;103,80;0,80;
18/01/20 22:00;19,46;85,74;4,23;79,25;0,67;
18/01/20 23:00;7,27;68,43;3,47;63,11;0,60;
19/01/20 00:00;10,40;60,14;3,00;55,54;0,61;
19/01/20 01:00;17,29;53,89;2,67;49,79;0,62;
19/01/20 02:00;23,89;54,44;2,49;50,63;0,68;
19/01/20 03:00;27,46;55,16;2,45;51,39;0,71;
19/01/20 04:00;31,11;54,93;2,36;51,30;0,73;
19/01/20 05:00;25,17;48,48;2,24;45,04;0,71;
19/01/20 06:00;19,32;;;;0,69;
19/01/20 07:00;17,14;51,65;2,35;48,06;0,70;
19/01/20 08:00;19,19;55,86;3,09;51,13;0,77;
19/01/20 09:00;31,98;53,23;3,77;47,46;0,85;
19/01/20 10:00;33,96;;;;0,80;
19/01/20 11:00;23,45;53,08;3,64;47,49;0,75;
19/01/20 12:00;15,74;46,01;3,52;40,61;;
19/01/20 13:00;18,19;45,04;3,74;39,31;0,73;
19/01/20 14:00;14,61;42,79;3,37;37,62;0,71;
19/01/20 15:00;12,94;40,88;2,98;36,30;0,71;
19/01/20 16:00;12,34;37,03;2,38;33,39;0,70;
19/01/20 17:00;18,57;38,84;2,39;35,17;0,72;
19/01/20 18:00;13,03;38,77;2,68;34,66;0,71;
19/01/20 19:00;15,72;44,62;3,08;39,89;0,73;
19/01/20 20:00;21,10;42,89;3,01;38,28;0,77;
19/01/20 21:00;18,83;46,34;3,20;41,44;0,79;
19/01/20 22:00;19,35;43,92;3,02;39,28;0,78;
19/01/20 23:00;17,86;35,38;2,54;31,48;0,75;
20/01/20 00:00;19,36;31,06;1,98;28,02;0,72;
20/01/20 01:00;25,99;27,35;1,73;24,70;0,71;
20/01/20 02:00;21,05;27,50;1,72;24,86;0,71;
20/01/20 03:00;16,71;26,85;1,59;24,40;0,72;
20/01/20 04:00;18,55;25,32;1,51;23,00;0,71;
20/01/20 05:00;24,70;25,21;1,70;22,61;0,70;
20/01/20 06:00;15,90;29,17;2,26;25,70;0,71;
20/01/20 07:00;16,60;38,87;3,63;33,26;0,73;
20/01/20 08:00;29,66;52,28;7,37;41,06;0,81;
20/01/20 09:00;43,21;68,91;12,61;49,59;0,95;
20/01/20 10:00;51,33;65,84;9,87;50,71;0,86;
20/01/20 11:00;43,29;66,18;10,22;50,53;0,80;
20/01/20 12:00;35,79;56,51;8,40;43,63;0,78;
