NetC;Brindisi;;;;;;;
Stat;S.I.S.R.I;;;;;;;
Parm;SO2;NO2;NOX;CO;PM10;BENZENE;;
;;;;;;;;
Unit;ug/m3 293K;ug/m3 293K;ug/m3 293K;mg/m3 293K;ug/m3;ug/m3 293K;;
;;;;;;;;
;;;;;;;;
01/01/20 01:00;0,97;18,43;19,65;0,28;;0,35;;
01/01/20 02:00;1,17;17,08;18,76;0,26;11,48;0,32;;
01/01/20 03:00;2,13;18,76;20,86;0,26;;0,29;;
01/01/20 04:00;0,01;17,19;19,17;0,24;14,90;0,28;;
01/01/20 05:00;0,72;15,04;16,64;0,25;;0,24;;
01/01/20 06:00;1,74;15,28;16,45;0,24;20,27;0,27;;
01/01/20 07:00;1,21;16,34;17,74;0,24;;0,23;;
01/01/20 08:00;0,70;15,79;17,68;0,22;22,71;0,23;;
01/01/20 09:00;0,28;12,89;15,49;0,20;;0,22;;
01/01/20 10:00;2,11;4,45;5,68;0,16;24,18;0,16;;
01/01/20 11:00;2,59;4,82;6,50;0,17;;0,09;;
01/01/20 12:00;2,21;2,85;3,88;0,19;13,19;;;
01/01/20 13:00;1,87;3,17;4,17;0,21;;;;
01/01/20 14:00;2,58;9,77;13,32;0,23;7,57;;;
01/01/20 15:00;3,14;6,98;8,90;0,23;;;;
01/01/20 16:00;4,44;5,11;5,92;0,23;4,88;;;
01/01/20 17:00;3,15;6,67;7,28;0,23;;;;
01/01/20 18:00;3,39;9,26;9,66;0,22;21,49;;;
01/01/20 19:00;2,53;10,64;11,06;0,21;;;;
01/01/20 20:00;1,73;8,24;8,88;0,22;18,80;;;
01/01/20 21:00;2,40;5,59;6,04;0,24;;;;
01/01/20 22:00;1,77;4,64;5,12;0,24;14,90;;;
01/01/20 23:00;2,14;2,48;2,93;0,25;;;;
01/02/20 00:00;1,11;3,15;3,53;0,24;8,30;;;
01/02/20 01:00;;1,94;2,43;0,22;;;;
01/02/20 02:00;1,40;;;0,23;13,68;;;
01/02/20 03:00;2,76;8,91;9,43;0,24;;;;
01/02/20 04:00;2,93;10,30;11,03;0,24;16,12;;;
01/02/20 05:00;2,67;6,70;7,25;0,23;;;;
01/02/20 06:00;1,68;11,80;12,39;0,22;18,56;;;
01/02/20 07:00;1,01;11,52;12,23;0,21;;;;
01/02/20 08:00;0,81;9,59;10,50;0,22;17,83;0,17;;
01/02/20 09:00;1,68;4,85;6,17;0,21;;0,16;;
01/02/20 10:00;3,55;5,32;7,26;0,22;16,12;0,16;;
01/02/20 11:00;3,22;7,52;10,63;0,21;;0,18;;
01/02/20 12:00;3,61;5,88;8,35;0,22;13,19;0,17;;
01/02/20 13:00;1,68;6,05;8,48;0,22;;0,18;;
01/02/20 14:00;2,52;5,99;7,98;0,22;14,16;0,17;;
01/02/20 15:00;2,29;6,44;8,23;0,22;;0,18;;
01/02/20 16:00;1,16;8,57;9,79;0,22;14,90;0,18;;
01/02/20 17:00;1,42;17,65;18,45;0,22;;0,18;;
01/02/20 18:00;1,43;19,96;20,45;0,21;11,23;0,17;;
01/02/20 19:00;2,12;11,58;12,09;0,20;;0,15;;
01/02/20 20:00;2,51;13,36;13,80;0,20;9,28;0,11;;
01/02/20 21:00;1,77;8,12;8,52;0,20;;0,10;;
01/02/20 22:00;0,39;12,15;12,57;0,20;6,84;0,10;;
01/02/20 23:00;1,77;14,98;15,47;0,20;;0,09;;
01/03/20 00:00;1,02;21,08;21,69;0,23;4,64;0,10;;
01/03/20 01:00;1,15;19,34;20,50;0,29;;0,23;;
01/03/20 02:00;0,73;12,93;13,67;0,26;6,84;0,31;;
01/03/20 03:00;1,94;14,36;15,42;0,26;;0,26;;
01/03/20 04:00;0,37;11,05;11,66;0,23;20,27;0,24;;
01/03/20 05:00;0,50;14,68;15,54;0,23;;0,20;;
01/03/20 06:00;1,07;15,38;15,93;0,25;10,99;0,18;;
01/03/20 07:00;0,62;17,14;18,31;0,29;;0,23;;
01/03/20 08:00;0,36;20,91;22,73;0,29;8,55;0,27;;
01/03/20 09:00;0,36;21,66;26,88;0,29;;0,30;;
01/03/20 10:00;2,18;14,21;18,66;0,29;17,34;0,32;;
01/03/20 11:00;0,36;12,75;17,21;0,29;;0,33;;
01/03/20 12:00;0,99;16,92;22,96;0,30;12,94;0,34;;
01/03/20 13:00;0,53;16,85;22,75;0,30;;0,38;;
01/03/20 14:00;0,43;14,64;18,91;0,28;17,58;0,40;;
01/03/20 15:00;0,44;9,80;11,77;0,26;;0,30;;
01/03/20 16:00;0,93;8,25;9,35;0,27;21,00;0,26;;
01/03/20 17:00;0,73;8,21;9,07;0,27;;0,30;;
01/03/20 18:00;0,91;8,99;10,09;0,27;27,84;0,29;;
01/03/20 19:00;0,45;10,55;11,16;0,28;;0,30;;
01/03/20 20:00;0,87;25,22;26,08;0,34;18,56;0,37;;
01/03/20 21:00;0,80;19,95;20,73;0,34;;0,50;;
01/03/20 22:00;0,69;20,20;21,13;0,33;25,64;0,44;;
01/03/20 23:00;0,10;22,37;23,09;0,31;;0,41;;
01/04/20 00:00;0,73;20,08;20,67;0,43;22,95;0,41;;
01/04/20 01:00;;14,36;15,01;0,39;;0,59;;
01/04/20 02:00;0,38;;;0,38;19,78;0,52;;
01/04/20 03:00;0,34;10,41;10,90;0,35;;0,45;;
01/04/20 04:00;0,58;11,28;11,76;0,35;23,69;0,42;;
01/04/20 05:00;0,35;11,48;11,98;0,34;;0,41;;
01/04/20 06:00;0,48;13,91;14,54;0,33;24,91;0,39;;
01/04/20 07:00;0,52;24,41;25,38;0,37;;0,64;;
01/04/20 08:00;1,11;25,45;27,29;0,37;16,36;0,50;;
01/04/20 09:00;0,54;24,44;28,50;0,43;;0,50;;
01/04/20 10:00;0,44;21,51;26,34;0,39;24,42;0,61;;
01/04/20 11:00;0,75;19,62;25,30;0,30;;0,50;;
01/04/20 12:00;0,81;12,64;15,57;0,28;19,78;0,36;;
01/04/20 13:00;0,84;12,61;15,77;0,27;;0,32;;
01/04/20 14:00;0,71;14,78;17,72;0,26;16,12;0,29;;
01/04/20 15:00;0,62;14,45;16,35;0,27;;0,31;;
01/04/20 16:00;1,36;32,42;35,75;0,26;13,43;0,28;;
01/04/20 17:00;1,42;27,29;28,58;0,31;;0,30;;
01/04/20 18:00;0,51;24,95;25,54;0,36;18,32;0,41;;
01/04/20 19:00;0,83;28,61;29,52;0,41;;0,59;;
01/04/20 20:00;0,28;28,06;28,77;0,36;14,65;0,69;;
01/04/20 21:00;0,08;27,76;28,52;0,34;;0,47;;
01/04/20 22:00;0,22;22,26;22,99;0,35;19,54;0,45;;
01/04/20 23:00;0,70;19,62;20,28;0,29;;0,44;;
01/05/20 00:00;0,49;13,95;14,55;0,24;21,00;0,31;;
01/05/20 01:00;0,84;14,52;14,99;0,22;;0,21;;
01/05/20 02:00;0,52;14,62;15,34;0,23;17,58;0,20;;
01/05/20 03:00;1,10;15,37;16,04;0,23;;0,19;;
01/05/20 04:00;0,76;13,95;14,87;0,23;14,41;0,22;;
01/05/20 05:00;2,52;14,84;15,58;0,22;;0,24;;
01/05/20 06:00;0,48;14,94;15,75;0,22;15,87;0,21;;
01/05/20 07:00;1,15;9,31;10,02;0,25;;0,25;;
01/05/20 08:00;1,92;14,55;15,69;0,22;9,28;0,25;;
01/05/20 09:00;3,43;5,43;6,57;0,21;;0,16;;
01/05/20 10:00;3,25;6,93;8,69;0,20;13,19;0,14;;
01/05/20 11:00;2,43;6,54;8,89;0,21;;0,14;;
01/05/20 12:00;2,12;6,15;8,36;0,22;9,77;0,17;;
01/05/20 13:00;2,56;5,35;7,21;0,24;;0,16;;
01/05/20 14:00;2,19;4,17;5,44;0,22;12,45;0,22;;
01/05/20 15:00;2,25;2,76;3,71;0,23;;0,14;;
01/05/20 16:00;0,80;4,53;5,49;0,22;16,12;0,11;;
01/05/20 17:00;0,78;5,70;6,41;0,22;;0,11;;
01/05/20 18:00;1,17;3,73;4,41;0,22;16,12;0,11;;
01/05/20 19:00;1,13;2,83;3,51;0,23;;0,11;;
01/05/20 20:00;2,11;3,58;4,25;0,24;18,07;0,11;;
01/05/20 21:00;1,09;4,00;4,79;0,23;;0,12;;
01/05/20 22:00;2,19;3,94;4,52;0,24;13,68;0,12;;
01/05/20 23:00;2,02;3,36;4,08;0,23;;0,13;;
01/06/20 00:00;2,14;3,38;4,28;0,22;14,16;0,13;;
01/06/20 01:00;;3,37;4,04;0,24;;0,13;;
01/06/20 02:00;1,89;;;0,25;10,74;0,13;;
01/06/20 03:00;1,18;3,00;3,74;0,25;;0,14;;
01/06/20 04:00;1,15;2,99;3,76;0,25;14,41;0,14;;
01/06/20 05:00;1,03;2,18;2,92;0,25;;0,13;;
01/06/20 06:00;1,53;3,44;4,14;0,26;14,16;0,13;;
01/06/20 07:00;0,99;3,52;4,38;0,27;;0,27;;
01/06/20 08:00;2,08;4,13;5,08;0,26;10,74;0,15;;
01/06/20 09:00;1,34;3,17;4,27;0,25;;0,14;;
01/06/20 10:00;0,68;3,48;4,57;0,24;14,90;0,17;;
01/06/20 11:00;0,39;2,92;3,96;0,25;;0,14;;
01/06/20 12:00;2,16;2,13;3,23;0,24;13,92;0,12;;
01/06/20 13:00;0,18;1,75;2,67;0,25;;0,13;;
01/06/20 14:00;1,76;3,86;5,20;0,24;8,55;0,13;;
01/06/20 15:00;1,69;2,45;3,44;0,25;;0,13;;
01/06/20 16:00;1,84;3,71;4,72;0,25;11,48;0,14;;
01/06/20 17:00;1,84;3,92;4,78;0,26;;0,14;;
01/06/20 18:00;1,89;2,87;3,60;0,26;6,84;0,14;;
01/06/20 19:00;1,36;3,91;4,81;0,26;;0,14;;
01/06/20 20:00;1,43;2,39;3,01;0,25;4,40;0,15;;
01/06/20 21:00;0,57;2,29;2,92;0,26;;0,15;;
01/06/20 22:00;1,17;3,03;3,54;0,27;4,88;0,15;;
01/06/20 23:00;1,12;1,59;2,11;0,25;;0,14;;
01/07/20 00:00;0,69;1,60;2,02;0,25;13,92;0,48;;
01/07/20 01:00;0,43;1,58;1,91;0,25;;0,25;;
01/07/20 02:00;0,58;2,59;3,26;0,26;8,06;0,18;;
01/07/20 03:00;0,27;4,98;5,61;0,27;;0,19;;
01/07/20 04:00;2,06;3,12;3,79;0,25;5,62;0,19;;
01/07/20 05:00;0,39;2,43;3,13;0,25;;0,15;;
01/07/20 06:00;1,70;3,58;4,17;0,26;13,92;0,16;;
01/07/20 07:00;1,44;4,08;4,68;0,25;;0,16;;
01/07/20 08:00;1,07;14,55;15,93;0,26;8,06;0,16;;
01/07/20 09:00;1,16;8,64;10,92;0,25;;0,17;;
01/07/20 10:00;0,91;6,20;8,65;0,25;7,08;0,18;;
01/07/20 11:00;1,28;7,07;9,93;0,26;;0,18;;
01/07/20 12:00;1,01;5,54;8,06;0,24;10,50;;;
01/07/20 13:00;0,83;3,37;4,78;0,23;;;;
01/07/20 14:00;1,77;7,08;9,74;0,23;6,11;;;
01/07/20 15:00;1,60;8,74;11,30;0,23;;;;
01/07/20 16:00;1,32;17,43;20,90;0,22;10,74;;;
01/07/20 17:00;1,27;21,39;22,49;0,22;;0,24;;
01/07/20 18:00;1,59;23,73;24,33;0,23;6,59;0,14;;
01/07/20 19:00;1,29;21,51;21,96;0,22;;0,13;;
01/07/20 20:00;0,82;23,80;24,31;0,23;5,86;0,12;;
01/07/20 21:00;1,93;15,60;16,06;0,25;;0,11;;
01/07/20 22:00;2,28;10,20;10,62;0,23;6,59;0,11;;
01/07/20 23:00;1,58;9,58;10,18;0,23;;0,11;;
01/08/20 00:00;1,37;10,00;10,56;0,23;7,57;0,11;;
01/08/20 01:00;;7,96;8,63;0,24;;0,11;;
01/08/20 02:00;1,00;;;0,25;5,13;0,12;;
01/08/20 03:00;1,23;3,36;3,78;0,23;;0,13;;
01/08/20 04:00;1,38;4,19;4,72;0,24;9,28;0,13;;
01/08/20 05:00;1,25;2,82;3,15;0,24;;;;
01/08/20 06:00;1,15;2,90;3,45;0,22;9,04;;;
01/08/20 07:00;1,05;2,33;2,72;0,23;;0,23;;
01/08/20 08:00;1,27;6,90;7,62;0,23;8,06;2,03;;
01/08/20 09:00;1,87;4,55;5,49;0,23;;0,15;;
01/08/20 10:00;1,92;5,03;6,25;0,20;11,23;0,26;;
01/08/20 11:00;1,49;5,63;8,11;0,21;;1,25;;
01/08/20 12:00;1,96;4,35;6,03;0,20;10,74;0,12;;
01/08/20 13:00;2,10;4,19;6,08;0,19;;0,10;;
01/08/20 14:00;2,31;7,54;10,35;0,20;10,99;0,09;;
01/08/20 15:00;1,96;6,81;9,00;0,20;;0,10;;
01/08/20 16:00;3,86;9,40;11,21;0,22;6,11;0,10;;
01/08/20 17:00;2,47;10,40;11,42;0,22;;0,12;;
01/08/20 18:00;2,45;22,01;22,62;0,25;13,19;0,11;;
01/08/20 19:00;1,76;26,19;26,91;0,22;;0,10;;
01/08/20 20:00;2,07;27,28;28,01;0,23;8,30;0,09;;
01/08/20 21:00;1,69;23,12;23,55;0,26;;0,10;;
01/08/20 22:00;1,34;22,97;23,42;0,20;7,33;0,11;;
01/08/20 23:00;1,24;22,68;23,24;0,34;;0,10;;
01/09/20 00:00;0,11;24,26;25,35;0,47;4,64;0,61;;
01/09/20 01:00;1,47;20,45;21,38;0,37;;0,50;;
01/09/20 02:00;0,50;26,89;28,28;0,33;17,34;0,44;;
01/09/20 03:00;0,45;14,58;15,33;0,29;;0,35;;
01/09/20 04:00;0,58;17,54;18,41;0,27;20,51;0,27;;
01/09/20 05:00;0,51;16,87;17,65;0,27;;0,27;;
01/09/20 06:00;0,65;19,19;20,20;0,29;15,87;0,23;;
01/09/20 07:00;0,28;29,68;33,58;0,33;;0,29;;
01/09/20 08:00;1,20;42,38;55,03;0,36;18,80;0,32;;
01/09/20 09:00;0,82;33,12;43,80;0,35;;0,40;;
01/09/20 10:00;0,68;29,80;41,61;0,30;15,87;0,34;;
01/09/20 11:00;0,27;18,01;24,35;0,30;;0,29;;
01/09/20 12:00;0,62;15,85;21,74;0,30;22,95;0,30;;
01/09/20 13:00;0,62;18,50;24,30;0,32;;0,35;;
01/09/20 14:00;1,23;20,97;25,32;0,30;26,86;0,33;;
01/09/20 15:00;1,15;13,43;16,20;0,25;;0,31;;
01/09/20 16:00;0,90;16,64;18,43;0,27;24,66;0,24;;
01/09/20 17:00;0,46;25,47;27,12;0,28;;0,23;;
01/09/20 18:00;0,39;41,11;42,53;0,33;21,98;0,27;;
01/09/20 19:00;0,27;36,66;37,65;0,36;;0,36;;
01/09/20 20:00;0,52;35,70;36,68;0,37;11,72;0,38;;
01/09/20 21:00;0,30;44,35;45,30;0,47;;0,44;;
01/09/20 22:00;2,28;50,25;54,78;0,68;18,56;0,81;;
01/09/20 23:00;0,87;44,98;50,68;0,91;;2,17;;
01/10/20 00:00;1,05;41,14;43,98;0,72;28,33;2,38;;
01/10/20 01:00;;26,74;28,26;0,57;;1,29;;
01/10/20 02:00;0,47;;;0,49;39,80;0,89;;
01/10/20 03:00;0,10;17,61;18,41;0,53;;0,81;;
01/10/20 04:00;0,29;19,40;20,01;0,57;34,43;0,89;;
01/10/20 05:00;0,11;25,47;27,52;0,60;;0,92;;
01/10/20 06:00;0,90;36,07;44,27;0,57;32,72;0,97;;
01/10/20 07:00;0,41;43,64;66,44;0,59;;1,44;;
01/10/20 08:00;2,43;54,85;139,48;0,65;19,29;1,15;;
01/10/20 09:00;4,36;64,35;189,33;0,65;;2,42;;
01/10/20 10:00;2,99;61,16;142,59;0,65;37,61;1,23;;
01/10/20 11:00;0,99;34,02;46,49;0,49;;0,88;;
01/10/20 12:00;0,36;14,36;17,81;0,27;33,94;0,65;;
01/10/20 13:00;0,44;10,11;12,47;0,26;;0,22;;
01/10/20 14:00;0,56;11,23;14,24;0,24;26,13;0,24;;
01/10/20 15:00;0,96;9,21;10,85;0,24;;0,20;;
01/10/20 16:00;1,06;12,02;13,36;0,26;20,76;0,20;;
01/10/20 17:00;0,78;26,08;27,67;0,29;;0,21;;
01/10/20 18:00;0,83;44,86;51,36;0,30;15,14;0,28;;
01/10/20 19:00;1,10;57,15;67,07;0,43;;0,28;;
01/10/20 20:00;0,23;57,20;60,68;0,51;14,90;0,62;;
01/10/20 21:00;0,56;39,87;40,89;0,47;;0,70;;
01/10/20 22:00;0,81;29,63;30,45;0,50;21,98;0,58;;
01/10/20 23:00;0,65;40,69;41,78;0,70;;0,83;;
01/11/20 00:00;0,80;28,46;29,61;0,59;28,08;1,51;;
01/11/20 01:00;2,84;18,52;19,35;0,46;;0,93;;
01/11/20 02:00;0,84;21,98;22,79;0,39;36,14;0,60;;
01/11/20 03:00;0,79;19,35;19,85;0,35;;0,47;;
01/11/20 04:00;0,83;15,59;16,02;0,31;33,21;0,36;;
01/11/20 05:00;0,66;15,18;15,73;0,30;;0,30;;
01/11/20 06:00;0,80;16,92;17,58;0,25;23,93;0,26;;
01/11/20 07:00;0,77;26,76;32,12;0,26;;0,23;;
01/11/20 08:00;0,83;36,96;40,88;0,26;19,54;0,22;;
01/11/20 09:00;0,68;29,33;34,28;0,26;;0,23;;
01/11/20 10:00;0,89;33,66;40,04;0,27;12,21;0,25;;
01/11/20 11:00;0,83;19,67;23,38;0,24;;0,27;;
01/11/20 12:00;0,95;26,08;32,40;0,24;17,58;0,22;;
01/11/20 13:00;0,77;14,86;17,90;0,22;;0,29;;
01/11/20 14:00;0,78;7,45;8,99;0,20;9,52;0,24;;
01/11/20 15:00;0,74;6,31;7,09;0,18;;0,17;;
01/11/20 16:00;0,68;10,64;11,57;0,19;13,92;0,16;;
01/11/20 17:00;0,79;9,24;9,79;0,18;;0,15;;
01/11/20 18:00;0,87;7,11;7,44;0,19;12,45;0,13;;
01/11/20 19:00;0,88;32,54;36,14;0,20;;0,15;;
01/11/20 20:00;0,37;38,89;40,75;0,35;10,74;0,17;;
01/11/20 21:00;2,18;67,91;74,73;0,62;;0,71;;
01/11/20 22:00;0,93;55,80;60,60;0,43;12,70;1,01;;
01/11/20 23:00;1,03;17,02;17,61;0,24;;0,40;;
01/12/20 00:00;1,61;7,46;7,80;0,27;26,37;0,32;;
01/12/20 01:00;;6,21;6,53;0,29;;0,40;;
01/12/20 02:00;1,06;;;0,31;20,27;2,03;;
01/12/20 03:00;1,06;6,12;6,47;0,31;;2,06;;
01/12/20 04:00;0,88;16,08;16,61;0,30;21,98;1,59;;
01/12/20 05:00;0,71;17,11;17,40;0,31;;0,63;;
01/12/20 06:00;0,91;15,39;15,89;0,24;25,64;0,58;;
01/12/20 07:00;1,62;8,45;8,96;0,20;;0,30;;
01/12/20 08:00;1,71;9,67;10,26;0,29;27,11;0,26;;
01/12/20 09:00;1,24;7,82;8,53;0,30;;0,95;;
01/12/20 10:00;0,38;10,19;11,50;0,31;19,54;1,18;;
01/12/20 11:00;2,67;11,21;13,07;0,25;;0,63;;
01/12/20 12:00;2,79;8,02;9,40;0,20;23,93;0,24;;
01/12/20 13:00;2,13;5,46;6,09;0,20;;0,22;;
01/12/20 14:00;1,97;9,60;10,42;0,20;12,45;0,21;;
01/12/20 15:00;2,01;9,40;10,10;0,20;;0,21;;
01/12/20 16:00;1,78;3,07;3,55;0,17;17,58;0,92;;
01/12/20 17:00;1,73;4,64;5,26;0,16;;0,15;;
01/12/20 18:00;1,42;3,37;3,82;0,17;12,70;0,12;;
01/12/20 19:00;1,00;6,30;6,70;0,17;;0,16;;
01/12/20 20:00;1,10;19,43;24,19;0,28;7,33;0,13;;
01/12/20 21:00;1,46;65,22;90,96;0,64;;0,84;;
01/12/20 22:00;1,18;39,64;43,78;0,35;6,84;0,81;;
01/12/20 23:00;0,88;15,59;16,17;0,27;;0,44;;
13/01/2020 00:00;0,83;20,14;20,89;0,32;11,48;0,32;;
13/01/2020 01:00;0,65;21,64;23,59;0,28;;0,44;;
13/01/2020 02:00;0,83;4,49;4,86;0,17;14,16;0,48;;
13/01/2020 03:00;0,78;5,99;6,34;0,17;;0,69;;
13/01/2020 04:00;0,90;10,61;11,20;0,18;15,38;0,15;;
13/01/2020 05:00;1,83;7,51;8,12;0,21;;0,14;;
13/01/2020 06:00;0,72;31,66;35,37;0,23;10,99;1,09;;
13/01/2020 07:00;1,19;51,62;70,31;0,25;;0,24;;
13/01/2020 08:00;1,18;40,40;50,23;0,25;11,23;0,22;;
13/01/2020 09:00;0,94;26,50;31,84;0,23;;0,21;;
13/01/2020 10:00;0,62;23,28;29,82;0,23;11,97;0,20;;
13/01/2020 11:00;1,25;14,13;19,52;0,21;;0,21;;
13/01/2020 12:00;2,03;19,95;28,08;0,22;17,09;0,20;;
13/01/2020 13:00;1,60;24,12;32,38;0,23;;0,23;;
13/01/2020 14:00;1,42;18,83;21,91;0,22;9,52;0,26;;
13/01/2020 15:00;1,67;18,28;23,98;0,24;;0,30;;
13/01/2020 16:00;1,19;6,48;7,45;0,22;11,97;0,33;;
13/01/2020 17:00;0,92;41,63;48,90;0,26;;0,32;;
13/01/2020 18:00;0,84;41,37;43,47;0,33;12,45;0,34;;
13/01/2020 19:00;2,20;53,03;98,73;0,45;;0,79;;
13/01/2020 20:00;3,79;52,05;168,34;0,77;11,72;0,92;;
13/01/2020 21:00;1,66;43,82;86,23;0,74;;1,98;;
13/01/2020 22:00;1,61;35,80;67,27;0,84;26,86;2,31;;
13/01/2020 23:00;1,34;36,37;64,28;0,92;;2,32;;
14/01/2020 00:00;1,17;31,87;58,37;0,96;33,94;2,64;;
14/01/2020 01:00;;30,28;43,80;0,80;;2,50;;
14/01/2020 02:00;0,92;;;0,73;40,54;2,01;;
14/01/2020 03:00;1,05;27,92;32,77;0,57;;1,27;;
14/01/2020 04:00;0,99;24,76;28,03;0,52;39,80;0,99;;
14/01/2020 05:00;0,79;24,84;32,27;0,52;;0,99;;
14/01/2020 06:00;0,87;20,32;25,81;0,46;26,13;0,94;;
14/01/2020 07:00;1,65;30,46;66,11;0,52;;1,12;;
14/01/2020 08:00;4,07;42,33;173,15;0,66;27,84;1,35;;
14/01/2020 09:00;5,11;59,12;245,88;1,03;;1,17;;
14/01/2020 10:00;3,28;58,61;166,18;0,56;29,06;1,26;;
14/01/2020 11:00;1,77;40,65;75,96;0,37;;0,81;;
14/01/2020 12:00;1,33;14,50;19,26;0,26;28,82;0,47;;
14/01/2020 13:00;1,29;14,68;19,65;0,25;;0,38;;
14/01/2020 14:00;1,36;11,03;13,75;0,25;19,54;0,37;;
14/01/2020 15:00;1,32;10,01;12,36;0,24;;0,44;;
14/01/2020 16:00;1,34;11,74;13,23;0,23;15,63;0,66;;
14/01/2020 17:00;1,07;14,56;15,37;0,27;;0,48;;
14/01/2020 18:00;0,88;14,23;14,74;0,26;11,97;0,34;;
14/01/2020 19:00;4,56;54,76;106,29;0,46;;0,49;;
14/01/2020 20:00;5,10;66,65;215,16;0,98;11,72;1,11;;
14/01/2020 21:00;4,99;59,15;231,47;1,36;;3,55;;
14/01/2020 22:00;3,91;47,38;176,90;1,22;35,16;4,36;;
14/01/2020 23:00;2,37;38,68;108,22;0,87;;3,14;;
15/01/2020 00:00;2,20;45,34;102,48;0,93;45,42;2,41;;
15/01/2020 01:00;1,08;35,88;41,22;0,65;;2,27;;
15/01/2020 02:00;0,84;27,13;28,64;0,48;43,47;1,15;;
15/01/2020 03:00;0,77;26,59;28,06;0,42;;0,82;;
15/01/2020 04:00;0,70;47,68;52,39;0,38;53,72;0,63;;
15/01/2020 05:00;1,20;45,99;49,46;0,35;;0,55;;
15/01/2020 06:00;0,80;52,30;56,76;0,32;31,50;0,50;;
15/01/2020 07:00;0,65;43,22;46,74;0,32;;0,43;;
15/01/2020 08:00;0,57;51,49;65,05;0,31;27,59;0,38;;
15/01/2020 09:00;1,41;45,98;66,73;0,31;;0,39;;
15/01/2020 10:00;1,01;29,21;41,48;0,29;30,28;0,34;;
15/01/2020 11:00;1,02;19,43;26,94;0,28;;0,39;;
15/01/2020 12:00;0,72;13,02;17,11;0,27;15,38;0,32;;
15/01/2020 13:00;0,85;11,79;14,71;0,25;;0,30;;
15/01/2020 14:00;1,22;26,95;36,98;0,28;19,78;0,26;;
15/01/2020 15:00;0,92;18,03;21,41;0,29;;0,37;;
15/01/2020 16:00;1,00;14,48;15,81;0,23;18,56;0,31;;
15/01/2020 17:00;1,12;20,51;21,70;0,22;;0,19;;
15/01/2020 18:00;0,45;27,15;28,04;0,23;13,92;0,19;;
15/01/2020 19:00;0,53;39,61;42,31;0,24;;0,20;;
15/01/2020 20:00;0,68;24,84;25,48;0,24;12,21;0,20;;
15/01/2020 21:00;0,77;26,34;27,75;0,23;;0,24;;
15/01/2020 22:00;0,84;14,93;15,53;0,19;14,90;0,15;;
15/01/2020 23:00;0,84;45,46;47,02;0,34;;0,16;;
16/01/2020 00:00;0,99;43,16;44,90;0,32;10,26;0,41;;
16/01/2020 01:00;;38,61;39,84;0,29;;0,34;;
16/01/2020 02:00;0,72;;;0,31;17,34;0,30;;
16/01/2020 03:00;0,50;18,35;19,17;0,29;;0,32;;
16/01/2020 04:00;0,55;14,62;15,40;0,28;18,80;0,30;;
16/01/2020 05:00;0,53;14,96;15,66;0,27;;0,27;;
16/01/2020 06:00;0,48;6,18;6,67;0,18;19,29;0,28;;
16/01/2020 07:00;0,49;10,73;11,85;0,19;;0,21;;
16/01/2020 08:00;0,74;10,21;11,32;0,21;20,76;0,16;;
16/01/2020 09:00;0,67;21,16;24,92;0,23;;0,16;;
16/01/2020 10:00;0,74;11,58;14,56;0,21;11,23;0,17;;
16/01/2020 11:00;0,77;11,08;14,95;0,24;;0,16;;
16/01/2020 12:00;0,62;13,70;17,76;0,28;19,05;0,24;;
16/01/2020 13:00;0,65;11,53;14,61;0,21;;0,30;;
16/01/2020 14:00;0,65;8,67;11,27;0,28;;0,19;;
16/01/2020 15:00;0,63;6,61;7,77;0,26;;0,15;;
16/01/2020 16:00;0,66;8,79;10,18;0,26;;0,15;;
16/01/2020 17:00;0,63;7,32;8,13;0,22;;0,15;;
16/01/2020 18:00;0,87;8,23;8,92;0,26;0,98;0,11;;
16/01/2020 19:00;0,62;7,07;7,73;0,26;;0,12;;
16/01/2020 20:00;0,54;4,89;5,26;0,27;6,84;0,13;;
16/01/2020 21:00;0,53;4,83;5,25;0,29;;0,15;;
16/01/2020 22:00;0,96;7,51;8,02;0,27;12,70;0,15;;
16/01/2020 23:00;0,77;10,32;10,83;0,28;;0,14;;
17/01/2020 00:00;0,54;8,09;8,40;0,26;16,85;0,14;;
17/01/2020 01:00;0,75;10,98;11,56;0,29;;0,13;;
17/01/2020 02:00;0,77;21,83;23,92;0,40;18,32;0,23;;
17/01/2020 03:00;0,72;18,91;20,36;0,39;;0,33;;
17/01/2020 04:00;0,80;22,52;24,21;0,41;23,69;0,31;;
17/01/2020 05:00;0,79;25,40;27,63;0,39;;0,31;;
17/01/2020 06:00;0,69;24,55;26,16;0,41;28,57;0,28;;
17/01/2020 07:00;0,39;29,39;33,08;0,40;;0,28;;
17/01/2020 08:00;0,86;31,66;36,49;0,42;34,68;0,28;;
17/01/2020 09:00;1,11;38,14;50,55;0,41;;0,29;;
17/01/2020 10:00;0,89;26,20;34,40;0,40;34,43;0,28;;
17/01/2020 11:00;0,74;23,48;31,53;0,40;;0,29;;
17/01/2020 12:00;0,81;23,23;31,13;0,40;37,61;0,29;;
17/01/2020 13:00;0,88;24,03;31,40;0,40;;0,35;;
17/01/2020 14:00;0,74;21,04;26,37;0,37;29,06;0,35;;
17/01/2020 15:00;0,90;16,71;19,13;0,36;;0,27;;
17/01/2020 16:00;0,82;17,59;19,56;0,35;18,80;0,24;;
17/01/2020 17:00;0,64;18,81;20,07;0,35;;0,24;;
17/01/2020 18:00;0,59;19,15;19,95;0,36;17,09;0,23;;
