NetC;Station;CO;PM10;PM2.5;NO;NOX;NO2;NO3;O3;BENZENE;SO2
01/01/20 01:00;Torchiarolo - Fanin ;;;15.28;;11.90;9.90;;;;1.78
01/01/20 02:00;Torchiarolo - Fanin     ;;18.56;17.43;;8.70;7.35;;;;1.32
01/01/20 03:00;Torchiarolo - Fanin     ;;;13.73;;6.99;5.86;;;;1.77
01/01/20 04:00;Torchiarolo - Fanin     ;;24.91;11.41;;6.42;5.46;;;;1.76
01/01/20 05:00;Torchiarolo - Fanin     ;;;13.08;;6.76;5.51;;;;1.17
01/01/20 06:00;Torchiarolo - Fanin     ;;20.27;13.87;;7.35;6.25;;;;1.47
01/01/20 07:00;Torchiarolo - Fanin     ;;;13.15;;5.30;4.94;;;;2.04
01/01/20 08:00;Torchiarolo - Fanin     ;;17.83;11.41;;5.84;4.67;;;;1.86
01/01/20 09:00;Torchiarolo - Fanin     ;;;8.85;;6.37;4.97;;;;1.91
01/01/20 10:00;Torchiarolo - Fanin     ;;15.63;8.78;;5.63;4.01;;;;2.21
01/01/20 11:00;Torchiarolo - Fanin     ;;;7.32;;3.57;2.09;;;;3.08
01/01/20 12:00;Torchiarolo - Fanin     ;;12.21;3.95;;3.13;1.81;;;;3.34
01/01/20 13:00;Torchiarolo - Fanin     ;;;10.74;;2.90;1.91;;;;2.70
01/01/20 14:00;Torchiarolo - Fanin     ;;12.21;10.36;;2.80;1.65;;;;4.20
01/01/20 15:00;Torchiarolo - Fanin     ;;;6.68;;2.16;1.23;;;;4.43
01/01/20 16:00;Torchiarolo - Fanin     ;;15.14;5.63;;2.46;1.20;;;;4.24
01/01/20 17:00;Torchiarolo - Fanin     ;;;5.30;;2.58;1.85;;;;4.30
01/01/20 18:00;Torchiarolo - Fanin     ;;11.97;6.47;;4.37;2.95;;;;3.76
01/01/20 19:00;Torchiarolo - Fanin     ;;;10.15;;4.73;3.30;;;;3.65
01/01/20 20:00;Torchiarolo - Fanin     ;;15.38;9.35;;3.44;2.60;;;;3.82
01/01/20 21:00;Torchiarolo - Fanin     ;;;7.23;;3.44;2.29;;;;3.61
01/01/20 22:00;Torchiarolo - Fanin     ;;15.14;8.59;;2.95;2.05;;;;3.28
01/01/20 23:00;Torchiarolo - Fanin     ;;;9.69;;2.97;1.98;;;;3.34
01/02/20 00:00;Torchiarolo - Fanin     ;;11.97;8.76;;3.38;2.16;;;;2.61
01/02/20 01:00;Torchiarolo - Fanin     ;;;8.29;;3.19;2.16;;;;
01/02/20 02:00;Torchiarolo - Fanin     ;;15.63;6.20;;2.48;1.62;;;;1.85
01/02/20 03:00;Torchiarolo - Fanin     ;;;8.14;;;;;;;2.80
01/02/20 04:00;Torchiarolo - Fanin     ;;19.29;9.53;;2.64;1.91;;;;2.87
01/02/20 05:00;Torchiarolo - Fanin     ;;;8.66;;3.15;2.25;;;;3.07
01/02/20 06:00;Torchiarolo - Fanin     ;;19.05;9.27;;2.36;1.76;;;;2.82
01/02/20 07:00;Torchiarolo - Fanin     ;;;8.35;;3.22;2.40;;;;2.87
01/02/20 08:00;Torchiarolo - Fanin     ;;16.36;8.27;;2.52;1.56;;;;3.11
01/02/20 09:00;Torchiarolo - Fanin     ;;;9.81;;3.82;2.49;;;;2.78
01/02/20 10:00;Torchiarolo - Fanin     ;;17.83;9.78;;3.68;2.26;;;;2.64
01/02/20 11:00;Torchiarolo - Fanin     ;;;6.85;;3.56;2.29;;;;2.45
01/02/20 12:00;Torchiarolo - Fanin     ;;21.49;8.22;;2.32;1.44;;;;2.74
01/02/20 13:00;Torchiarolo - Fanin     ;;;8.03;;3.00;1.76;;;;2.66
01/02/20 14:00;Torchiarolo - Fanin     ;;15.38;6.17;;2.56;1.41;;;;3.24
01/02/20 15:00;Torchiarolo - Fanin     ;;;6.99;;3.02;1.70;;;;3.23
01/02/20 16:00;Torchiarolo - Fanin     ;;14.90;7.86;;3.96;2.28;;;;2.67
01/02/20 17:00;Torchiarolo - Fanin     ;;;13.11;;12.48;9.21;;;;2.39
01/02/20 18:00;Torchiarolo - Fanin     ;;14.16;13.34;;15.19;11.82;;;;1.76
01/02/20 19:00;Torchiarolo - Fanin     ;;;8.76;;14.26;11.97;;;;1.23
01/02/20 20:00;Torchiarolo - Fanin     ;;18.56;9.53;;41.58;37.95;;;;1.45
01/02/20 21:00;Torchiarolo - Fanin     ;;;11.54;;24.28;21.70;;;;1.23
01/02/20 22:00;Torchiarolo - Fanin     ;;17.58;8.84;;14.41;12.25;;;;1.69
01/02/20 23:00;Torchiarolo - Fanin     ;;;15.40;;11.77;9.45;;;;1.85
01/03/20 00:00;Torchiarolo - Fanin     ;;9.77;6.29;;7.77;6.42;;;;2.30
01/03/20 01:00;Torchiarolo - Fanin     ;;;2.89;;19.13;17.23;;;;1.76
01/03/20 02:00;Torchiarolo - Fanin     ;;10.99;5.33;;14.14;12.50;;;;1.30
01/03/20 03:00;Torchiarolo - Fanin     ;;;7.06;;12.97;10.92;;;;1.64
01/03/20 04:00;Torchiarolo - Fanin     ;;14.41;8.28;;10.51;8.89;;;;1.76
01/03/20 05:00;Torchiarolo - Fanin     ;;;11.87;;12.35;10.51;;;;1.77
01/03/20 06:00;Torchiarolo - Fanin     ;;13.92;10.85;;8.81;7.61;;;;1.56
01/03/20 07:00;Torchiarolo - Fanin     ;;;9.07;;9.60;8.44;;;;1.52
01/03/20 08:00;Torchiarolo - Fanin     ;;11.48;8.05;;14.19;12.77;;;;1.95
01/03/20 09:00;Torchiarolo - Fanin     ;;;8.68;;17.81;14.64;;;;1.76
01/03/20 10:00;Torchiarolo - Fanin     ;;7.33;15.57;;14.84;11.35;;;;1.65
01/03/20 11:00;Torchiarolo - Fanin     ;;;14.30;;10.75;7.95;;;;1.82
01/03/20 12:00;Torchiarolo - Fanin     ;;13.43;14.50;;9.97;7.25;;;;1.53
01/03/20 13:00;Torchiarolo - Fanin     ;;;13.96;;10.65;8.23;;;;1.85
01/03/20 14:00;Torchiarolo - Fanin     ;;16.85;12.74;;9.95;7.67;;;;2.12
01/03/20 15:00;Torchiarolo - Fanin     ;;;12.75;;7.57;5.96;;;;2.14
01/03/20 16:00;Torchiarolo - Fanin     ;;19.05;10.73;;9.98;8.17;;;;2.27
01/03/20 17:00;Torchiarolo - Fanin     ;;;11.83;;13.51;11.27;;;;2.11
01/03/20 18:00;Torchiarolo - Fanin     ;;18.56;15.06;;16.73;14.41;;;;2.09
01/03/20 19:00;Torchiarolo - Fanin     ;;;16.79;;13.62;10.81;;;;1.35
01/03/20 20:00;Torchiarolo - Fanin     ;;17.34;22.08;;25.08;21.98;;;;0.99
01/03/20 21:00;Torchiarolo - Fanin     ;;;20.56;;31.46;27.85;;;;2.16
01/03/20 22:00;Torchiarolo - Fanin     ;;21.98;21.18;;33.29;29.02;;;;1.85
01/03/20 23:00;Torchiarolo - Fanin     ;;;25.25;;37.28;31.99;;;;0.79
01/04/20 00:00;Torchiarolo - Fanin     ;;27.35;41.05;;33.29;27.83;;;;1.60
01/04/20 01:00;Torchiarolo - Fanin     ;;;40.69;;24.83;20.75;;;;
01/04/20 02:00;Torchiarolo - Fanin     ;;31.26;30.43;;19.08;15.96;;;;1.60
01/04/20 03:00;Torchiarolo - Fanin     ;;;26.01;;;;;;;2.00
01/04/20 04:00;Torchiarolo - Fanin     ;;35.65;19.83;;14.41;12.42;;;;2.10
01/04/20 05:00;Torchiarolo - Fanin     ;;;22.91;;22.56;19.61;;;;2.79
01/04/20 06:00;Torchiarolo - Fanin     ;;24.42;22.69;;25.19;21.73;;;;2.08
01/04/20 07:00;Torchiarolo - Fanin     ;;;22.15;;20.61;18.04;;;;2.15
01/04/20 08:00;Torchiarolo - Fanin     ;;27.84;24.33;;35.32;29.25;;;;2.18
01/04/20 09:00;Torchiarolo - Fanin     ;;;26.14;;24.89;20.11;;;;2.42
01/04/20 10:00;Torchiarolo - Fanin     ;;28.33;28.06;;17.55;13.84;;;;2.79
01/04/20 11:00;Torchiarolo - Fanin     ;;;22.37;;13.52;10.57;;;;2.46
01/04/20 12:00;Torchiarolo - Fanin     ;;27.11;20.10;;9.78;7.66;;;;2.80
01/04/20 13:00;Torchiarolo - Fanin     ;;;15.35;;8.42;6.23;;;;0.82
01/04/20 14:00;Torchiarolo - Fanin     ;;20.27;15.74;;7.68;6.07;;;;1.75
01/04/20 15:00;Torchiarolo - Fanin     ;;;14.87;;9.44;7.66;;;;3.01
01/04/20 16:00;Torchiarolo - Fanin     ;;11.23;13.98;;12.13;10.14;;;;2.62
01/04/20 17:00;Torchiarolo - Fanin     ;;;13.46;;13.42;11.94;;;;2.78
01/04/20 18:00;Torchiarolo - Fanin     ;;18.56;11.51;;25.33;22.84;;;;2.71
01/04/20 19:00;Torchiarolo - Fanin     ;;;15.24;;25.86;23.23;;;;2.76
01/04/20 20:00;Torchiarolo - Fanin     ;;17.58;21.15;;22.92;20.41;;;;2.71
01/04/20 21:00;Torchiarolo - Fanin     ;;;22.95;;22.24;19.88;;;;2.83
01/04/20 22:00;Torchiarolo - Fanin     ;;20.27;23.57;;17.69;15.58;;;;3.08
01/04/20 23:00;Torchiarolo - Fanin     ;;;24.28;;18.49;16.07;;;;2.96
01/05/20 00:00;Torchiarolo - Fanin     ;;28.33;23.86;;14.27;12.52;;;;3.55
01/05/20 01:00;Torchiarolo - Fanin     ;;;16.76;;11.77;10.21;;;;3.44
01/05/20 02:00;Torchiarolo - Fanin     ;;18.80;11.61;;11.23;9.36;;;;3.23
01/05/20 03:00;Torchiarolo - Fanin     ;;;8.85;;7.60;6.56;;;;3.31
01/05/20 04:00;Torchiarolo - Fanin     ;;16.36;7.13;;8.36;7.04;;;;3.30
01/05/20 05:00;Torchiarolo - Fanin     ;;;10.44;;8.95;7.67;;;;3.70
01/05/20 06:00;Torchiarolo - Fanin     ;;21.98;12.64;;9.57;8.04;;;;4.07
01/05/20 07:00;Torchiarolo - Fanin     ;;;11.00;;3.87;3.12;;;;4.06
01/05/20 08:00;Torchiarolo - Fanin     ;;11.72;14.13;;6.49;5.01;;;;4.46
01/05/20 09:00;Torchiarolo - Fanin     ;;;14.53;;5.02;3.72;;;;5.47
01/05/20 10:00;Torchiarolo - Fanin     ;;15.87;9.37;;3.18;1.85;;;;5.26
01/05/20 11:00;Torchiarolo - Fanin     ;;;3.88;;4.11;2.34;;;;5.41
01/05/20 12:00;Torchiarolo - Fanin     ;;8.79;3.21;;4.89;3.04;;;;6.25
01/05/20 13:00;Torchiarolo - Fanin     ;;;4.91;;5.42;3.51;;;;6.44
01/05/20 14:00;Torchiarolo - Fanin     ;;5.37;13.53;;3.23;1.61;;;;3.74
01/05/20 15:00;Torchiarolo - Fanin     ;;;13.74;;2.23;1.24;;;;3.27
01/05/20 16:00;Torchiarolo - Fanin     ;;10.26;17.28;;;;;;;2.91
01/05/20 17:00;Torchiarolo - Fanin     ;;;6.52;;4.76;3.72;;;;5.76
01/05/20 18:00;Torchiarolo - Fanin     ;;16.36;6.52;;3.82;2.66;;;;4.27
01/05/20 19:00;Torchiarolo - Fanin     ;;;10.78;;2.27;1.25;;;;3.84
01/05/20 20:00;Torchiarolo - Fanin     ;;11.23;7.41;;;;;;;3.68
01/05/20 21:00;Torchiarolo - Fanin     ;;;4.89;;;;;;;3.55
01/05/20 22:00;Torchiarolo - Fanin     ;;8.79;7.88;;;;;;;3.50
01/05/20 23:00;Torchiarolo - Fanin     ;;;24.30;;;;;;;4.02
01/06/20 00:00;Torchiarolo - Fanin     ;;11.72;13.21;;;;;;;4.31
01/06/20 01:00;Torchiarolo - Fanin     ;;;13.86;;2.10;1.08;;;;
01/06/20 02:00;Torchiarolo - Fanin     ;;10.74;15.99;;;;;;;3.26
01/06/20 03:00;Torchiarolo - Fanin     ;;;15.95;;;;;;;2.42
01/06/20 04:00;Torchiarolo - Fanin     ;;12.70;11.00;;;;;;;2.44
01/06/20 05:00;Torchiarolo - Fanin     ;;;7.47;;;;;;;2.22
01/06/20 06:00;Torchiarolo - Fanin     ;;12.94;4.85;;;;;;;2.12
01/06/20 07:00;Torchiarolo - Fanin     ;;;2.64;;;;;;;2.37
01/06/20 08:00;Torchiarolo - Fanin     ;;10.26;2.97;;;;;;;2.08
01/06/20 09:00;Torchiarolo - Fanin     ;;;3.16;;;;;;;2.33
01/06/20 10:00;Torchiarolo - Fanin     ;;14.16;2.45;;;;;;;1.72
01/06/20 11:00;Torchiarolo - Fanin     ;;;3.59;;;;;;;2.22
01/06/20 12:00;Torchiarolo - Fanin     ;;7.81;5.21;;;;;;;2.07
01/06/20 13:00;Torchiarolo - Fanin     ;;;4.95;;;;;;;1.93
01/06/20 14:00;Torchiarolo - Fanin     ;;9.52;3.97;;;;;;;2.48
01/06/20 15:00;Torchiarolo - Fanin     ;;;4.08;;;;;;;2.82
01/06/20 16:00;Torchiarolo - Fanin     ;;7.57;6.13;;;;;;;2.70
01/06/20 17:00;Torchiarolo - Fanin     ;;;5.29;;;;;;;2.52
01/06/20 18:00;Torchiarolo - Fanin     ;;4.40;2.91;;1.94;1.05;;;;3.04
01/06/20 19:00;Torchiarolo - Fanin     ;;;3.17;;3.02;1.58;;;;3.21
01/06/20 20:00;Torchiarolo - Fanin     ;;6.35;2.65;;2.07;1.12;;;;2.35
01/06/20 21:00;Torchiarolo - Fanin     ;;;4.47;;2.28;1.31;;;;2.10
01/06/20 22:00;Torchiarolo - Fanin     ;;12.94;6.15;;2.00;1.13;;;;2.28
01/06/20 23:00;Torchiarolo - Fanin     ;;;6.03;;1.91;1.08;;;;2.51
01/07/20 00:00;Torchiarolo - Fanin     ;;7.81;5.61;;;;;;;2.33
01/07/20 01:00;Torchiarolo - Fanin     ;;;7.35;;;;;;;2.21
01/07/20 02:00;Torchiarolo - Fanin     ;;10.26;5.65;;1.75;1.01;;;;2.12
01/07/20 03:00;Torchiarolo - Fanin     ;;;2.49;;;;;;;1.94
01/07/20 04:00;Torchiarolo - Fanin     ;;13.19;3.49;;;;;;;2.00
01/07/20 05:00;Torchiarolo - Fanin     ;;;3.51;;;;;;;2.00
01/07/20 06:00;Torchiarolo - Fanin     ;;9.28;3.13;;;;;;;2.20
01/07/20 07:00;Torchiarolo - Fanin     ;;;5.15;;;;;;;2.06
01/07/20 08:00;Torchiarolo - Fanin     ;;16.12;7.56;;2.11;1.23;;;;1.81
01/07/20 09:00;Torchiarolo - Fanin     ;;;6.20;;2.90;1.96;;;;2.62
01/07/20 10:00;Torchiarolo - Fanin     ;;8.79;5.65;;2.76;1.36;;;;1.78
01/07/20 11:00;Torchiarolo - Fanin     ;;;5.63;;2.25;1.04;;;;1.25
01/07/20 12:00;Torchiarolo - Fanin     ;;7.81;4.27;;3.23;1.51;;;;2.63
01/07/20 13:00;Torchiarolo - Fanin     ;;;3.67;;3.51;1.76;;;;2.44
01/07/20 14:00;Torchiarolo - Fanin     ;;14.65;2.67;;2.56;1.48;;;;2.21
01/07/20 15:00;Torchiarolo - Fanin     ;;;2.36;;2.80;1.67;;;;2.20
01/07/20 16:00;Torchiarolo - Fanin     ;;10.50;2.86;;5.56;3.61;;;;2.31
01/07/20 17:00;Torchiarolo - Fanin     ;;;6.77;;9.27;6.83;;;;2.88
01/07/20 18:00;Torchiarolo - Fanin     ;;6.35;8.17;;19.52;17.83;;;;2.28
01/07/20 19:00;Torchiarolo - Fanin     ;;;7.36;;44.45;40.52;;;;2.27
01/07/20 20:00;Torchiarolo - Fanin     ;;10.99;6.43;;18.21;14.58;;;;2.09
01/07/20 21:00;Torchiarolo - Fanin     ;;;5.74;;10.37;8.27;;;;2.21
01/07/20 22:00;Torchiarolo - Fanin     ;;11.97;5.56;;11.54;9.73;;;;2.05
01/07/20 23:00;Torchiarolo - Fanin     ;;;3.90;;50.59;37.65;;;;1.99
01/08/20 00:00;Torchiarolo - Fanin     ;;11.72;1.03;;38.13;30.82;;;;1.88
01/08/20 01:00;Torchiarolo - Fanin     ;;;2.44;;15.72;13.71;;;;
01/08/20 02:00;Torchiarolo - Fanin     ;;15.14;5.91;;9.30;7.92;;;;2.13
01/08/20 03:00;Torchiarolo - Fanin     ;;;4.38;;;;;;;2.55
01/08/20 04:00;Torchiarolo - Fanin     ;;8.79;4.93;;5.24;4.04;;;;2.10
01/08/20 05:00;Torchiarolo - Fanin     ;;;6.24;;3.11;2.31;;;;2.15
01/08/20 06:00;Torchiarolo - Fanin     ;;7.57;4.81;;2.89;2.11;;;;2.44
01/08/20 07:00;Torchiarolo - Fanin     ;;;2.95;;3.01;2.29;;;;2.30
01/08/20 08:00;Torchiarolo - Fanin     ;;12.70;1.83;;3.91;2.96;;;;2.10
01/08/20 09:00;Torchiarolo - Fanin     ;;;2.61;;3.90;2.83;;;;1.80
01/08/20 10:00;Torchiarolo - Fanin     ;;13.43;3.89;;3.49;2.28;;;;2.89
01/08/20 11:00;Torchiarolo - Fanin     ;;;5.13;;3.41;2.09;;;;2.21
01/08/20 12:00;Torchiarolo - Fanin     ;;16.61;3.07;;3.32;1.90;;;;2.31
01/08/20 13:00;Torchiarolo - Fanin     ;;;1.22;;4.06;2.65;;;;2.94
01/08/20 14:00;Torchiarolo - Fanin     ;;8.30;4.41;;3.73;2.16;;;;3.98
01/08/20 15:00;Torchiarolo - Fanin     ;;;4.12;;4.61;2.99;;;;4.01
01/08/20 16:00;Torchiarolo - Fanin     ;;10.26;1.03;;5.22;3.62;;;;3.89
01/08/20 17:00;Torchiarolo - Fanin     ;;;2.67;;7.99;6.48;;;;3.36
01/08/20 18:00;Torchiarolo - Fanin     ;;9.52;4.59;;7.19;5.67;;;;3.14
01/08/20 19:00;Torchiarolo - Fanin     ;;;6.33;;11.89;9.54;;;;2.31
01/08/20 20:00;Torchiarolo - Fanin     ;;19.78;6.06;;74.58;54.50;;;;1.81
01/08/20 21:00;Torchiarolo - Fanin     ;;;8.19;;104.47;57.43;;;;1.35
01/08/20 22:00;Torchiarolo - Fanin     ;;15.87;14.41;;69.91;48.24;;;;1.40
01/08/20 23:00;Torchiarolo - Fanin     ;;;26.71;;75.21;45.37;;;;1.59
01/09/20 00:00;Torchiarolo - Fanin     ;;17.83;34.42;;24.93;20.42;;;;1.35
01/09/20 01:00;Torchiarolo - Fanin     ;;;23.90;;17.25;15.23;;;;1.23
01/09/20 02:00;Torchiarolo - Fanin     ;;27.59;22.78;;16.69;14.52;;;;1.18
01/09/20 03:00;Torchiarolo - Fanin     ;;;19.56;;17.12;15.11;;;;1.13
01/09/20 04:00;Torchiarolo - Fanin     ;;33.94;17.45;;13.95;12.19;;;;1.34
01/09/20 05:00;Torchiarolo - Fanin     ;;;12.21;;15.33;13.27;;;;1.39
01/09/20 06:00;Torchiarolo - Fanin     ;;26.37;7.92;;16.21;14.19;;;;1.27
01/09/20 07:00;Torchiarolo - Fanin     ;;;9.32;;24.13;21.44;;;;1.56
01/09/20 08:00;Torchiarolo - Fanin     ;;13.92;11.84;;28.33;24.45;;;;1.53
01/09/20 09:00;Torchiarolo - Fanin     ;;;12.75;;36.66;27.87;;;;1.73
01/09/20 10:00;Torchiarolo - Fanin     ;;18.56;13.06;;23.05;17.27;;;;1.08
01/09/20 11:00;Torchiarolo - Fanin     ;;;12.95;;19.59;14.69;;;;1.64
01/09/20 12:00;Torchiarolo - Fanin     ;;20.76;16.55;;15.78;12.29;;;;1.64
01/09/20 13:00;Torchiarolo - Fanin     ;;;13.23;;14.24;10.85;;;;1.57
01/09/20 14:00;Torchiarolo - Fanin     ;;15.63;11.74;;12.16;9.87;;;;1.95
01/09/20 15:00;Torchiarolo - Fanin     ;;;17.99;;14.79;11.79;;;;2.09
01/09/20 16:00;Torchiarolo - Fanin     ;;16.85;14.03;;10.56;8.43;;;;2.22
01/09/20 17:00;Torchiarolo - Fanin     ;;;12.56;;13.36;11.31;;;;1.67
01/09/20 18:00;Torchiarolo - Fanin     ;;16.12;16.54;;27.56;25.03;;;;1.81
01/09/20 19:00;Torchiarolo - Fanin     ;;;13.13;;29.45;26.51;;;;1.76
01/09/20 20:00;Torchiarolo - Fanin     ;;25.40;20.97;;21.35;19.18;;;;1.77
01/09/20 21:00;Torchiarolo - Fanin     ;;;18.21;;24.78;22.23;;;;1.85
01/09/20 22:00;Torchiarolo - Fanin     ;;22.95;20.33;;29.30;26.48;;;;2.06
01/09/20 23:00;Torchiarolo - Fanin     ;;;25.51;;47.53;40.35;;;;1.58
01/10/20 00:00;Torchiarolo - Fanin     ;;26.13;35.86;;50.20;38.35;;;;1.98
01/10/20 01:00;Torchiarolo - Fanin     ;;;47.30;;62.78;33.97;;;;
01/10/20 02:00;Torchiarolo - Fanin     ;;35.90;51.82;;56.08;30.78;;;;1.67
01/10/20 03:00;Torchiarolo - Fanin     ;;;49.07;;;;;;;2.02
01/10/20 04:00;Torchiarolo - Fanin     ;;42.25;43.53;;83.73;25.07;;;;2.27
01/10/20 05:00;Torchiarolo - Fanin     ;;;34.64;;108.14;26.11;;;;2.58
01/10/20 06:00;Torchiarolo - Fanin     ;;46.64;28.21;;120.95;28.50;;;;2.31
01/10/20 07:00;Torchiarolo - Fanin     ;;;26.42;;113.77;33.49;;;;2.36
01/10/20 08:00;Torchiarolo - Fanin     ;;38.34;28.01;;151.89;39.98;;;;2.02
01/10/20 09:00;Torchiarolo - Fanin     ;;;30.86;;185.58;52.07;;;;2.36
01/10/20 10:00;Torchiarolo - Fanin     ;;35.90;33.89;;62.92;35.77;;;;2.01
01/10/20 11:00;Torchiarolo - Fanin     ;;;18.67;;17.91;14.04;;;;2.09
01/10/20 12:00;Torchiarolo - Fanin     ;;42.25;15.02;;15.58;12.58;;;;2.80
01/10/20 13:00;Torchiarolo - Fanin     ;;;13.03;;16.13;12.76;;;;3.28
01/10/20 14:00;Torchiarolo - Fanin     ;;22.47;10.19;;9.59;7.69;;;;2.56
01/10/20 15:00;Torchiarolo - Fanin     ;;;11.43;;7.34;5.81;;;;2.52
01/10/20 16:00;Torchiarolo - Fanin     ;;15.87;14.29;;9.14;7.23;;;;2.58
01/10/20 17:00;Torchiarolo - Fanin     ;;;14.90;;13.14;11.19;;;;2.18
01/10/20 18:00;Torchiarolo - Fanin     ;;13.19;12.23;;50.37;35.91;;;;2.47
01/10/20 19:00;Torchiarolo - Fanin     ;;;18.40;;90.18;65.21;;;;2.61
01/10/20 20:00;Torchiarolo - Fanin     ;;22.95;33.12;;34.57;30.24;;;;2.50
01/10/20 21:00;Torchiarolo - Fanin     ;;;27.68;;25.95;23.53;;;;2.29
01/10/20 22:00;Torchiarolo - Fanin     ;;29.55;28.91;;24.49;22.14;;;;1.52
01/10/20 23:00;Torchiarolo - Fanin     ;;;36.03;;23.66;21.03;;;;2.57
01/11/20 00:00;Torchiarolo - Fanin     ;;36.14;44.92;;24.48;21.80;;;;2.17
01/11/20 01:00;Torchiarolo - Fanin     ;;;44.04;;19.13;16.59;;;;2.35
01/11/20 02:00;Torchiarolo - Fanin     ;;41.03;41.92;;16.31;14.24;;;;2.34
01/11/20 03:00;Torchiarolo - Fanin     ;;;36.15;;14.53;12.74;;;;2.54
01/11/20 04:00;Torchiarolo - Fanin     ;;42.74;27.80;;14.60;12.25;;;;2.24
01/11/20 05:00;Torchiarolo - Fanin     ;;;24.89;;15.30;13.08;;;;2.43
01/11/20 06:00;Torchiarolo - Fanin     ;;36.87;25.19;;12.04;10.70;;;;2.10
01/11/20 07:00;Torchiarolo - Fanin     ;;;20.69;;13.23;11.85;;;;2.67
01/11/20 08:00;Torchiarolo - Fanin     ;;28.82;16.93;;13.90;12.46;;;;2.49
01/11/20 09:00;Torchiarolo - Fanin     ;;;18.68;;16.24;14.11;;;;2.39
01/11/20 10:00;Torchiarolo - Fanin     ;;26.13;18.46;;19.65;16.23;;;;2.26
01/11/20 11:00;Torchiarolo - Fanin     ;;;20.00;;14.17;11.85;;;;1.93
01/11/20 12:00;Torchiarolo - Fanin     ;;16.36;19.27;;14.77;11.90;;;;2.50
01/11/20 13:00;Torchiarolo - Fanin     ;;;15.29;;13.95;11.60;;;;2.53
01/11/20 14:00;Torchiarolo - Fanin     ;;13.68;13.77;;12.33;9.80;;;;2.46
01/11/20 15:00;Torchiarolo - Fanin     ;;;12.34;;8.85;7.35;;;;2.16
01/11/20 16:00;Torchiarolo - Fanin     ;;11.97;12.24;;9.88;8.42;;;;2.48
01/11/20 17:00;Torchiarolo - Fanin     ;;;10.29;;11.79;9.90;;;;2.60
01/11/20 18:00;Torchiarolo - Fanin     ;;18.07;9.59;;12.72;11.30;;;;2.70
01/11/20 19:00;Torchiarolo - Fanin     ;;;8.94;;18.15;16.16;;;;2.25
01/11/20 20:00;Torchiarolo - Fanin     ;;16.85;13.26;;17.80;16.07;;;;2.48
01/11/20 21:00;Torchiarolo - Fanin     ;;;14.79;;16.75;14.92;;;;2.67
01/11/20 22:00;Torchiarolo - Fanin     ;;17.34;18.27;;18.92;16.51;;;;2.70
01/11/20 23:00;Torchiarolo - Fanin     ;;;23.68;;20.90;18.31;;;;2.77
01/12/20 00:00;Torchiarolo - Fanin     ;;21.49;20.90;;20.96;18.62;;;;2.79
01/12/20 01:00;Torchiarolo - Fanin     ;;;17.02;;20.85;18.22;;;;
01/12/20 02:00;Torchiarolo - Fanin     ;;23.20;13.55;;26.37;23.61;;;;1.79
01/12/20 03:00;Torchiarolo - Fanin     ;;;18.12;;;;;;;2.25
01/12/20 04:00;Torchiarolo - Fanin     ;;22.47;24.39;;35.28;29.18;;;;2.45
01/12/20 05:00;Torchiarolo - Fanin     ;;;22.12;;47.93;29.56;;;;2.32
01/12/20 06:00;Torchiarolo - Fanin     ;;21.00;19.99;;55.04;26.26;;;;1.93
01/12/20 07:00;Torchiarolo - Fanin     ;;;15.45;;43.21;25.80;;;;1.76
01/12/20 08:00;Torchiarolo - Fanin     ;;23.69;20.57;;26.53;20.80;;;;2.31
01/12/20 09:00;Torchiarolo - Fanin     ;;;18.25;;55.29;30.69;;;;2.31
01/12/20 10:00;Torchiarolo - Fanin     ;;23.69;24.31;;13.84;10.24;;;;2.66
01/12/20 11:00;Torchiarolo - Fanin     ;;;27.18;;8.02;6.14;;;;2.64
01/12/20 12:00;Torchiarolo - Fanin     ;;29.30;22.46;;8.45;6.38;;;;2.65
01/12/20 13:00;Torchiarolo - Fanin     ;;;14.36;;6.51;4.71;;;;3.78
01/12/20 14:00;Torchiarolo - Fanin     ;;27.11;10.71;;10.58;7.74;;;;3.80
01/12/20 15:00;Torchiarolo - Fanin     ;;;8.97;;7.83;6.20;;;;3.77
01/12/20 16:00;Torchiarolo - Fanin     ;;21.00;9.90;;6.40;4.98;;;;3.08
01/12/20 17:00;Torchiarolo - Fanin     ;;;11.73;;9.29;7.35;;;;2.41
01/12/20 18:00;Torchiarolo - Fanin     ;;16.85;16.34;;14.82;11.58;;;;2.64
01/12/20 19:00;Torchiarolo - Fanin     ;;;25.53;;19.59;16.04;;;;2.15
01/12/20 20:00;Torchiarolo - Fanin     ;;23.20;36.45;;17.85;14.61;;;;1.90
01/12/20 21:00;Torchiarolo - Fanin     ;;;20.22;;15.36;12.40;;;;1.82
01/12/20 22:00;Torchiarolo - Fanin     ;;24.66;7.54;;23.52;20.89;;;;2.50
01/12/20 23:00;Torchiarolo - Fanin     ;;;11.25;;21.67;18.42;;;;2.37
13/01/2020 00:00;Torchiarolo - Fanin     ;;20.76;19.92;;24.04;20.10;;;;2.66
13/01/2020 01:00;Torchiarolo - Fanin     ;;;;;24.49;20.35;;;;2.37
13/01/2020 02:00;Torchiarolo - Fanin     ;;19.78;;;18.49;14.69;;;;2.29
13/01/2020 03:00;Torchiarolo - Fanin     ;;;;;8.96;7.05;;;;2.61
13/01/2020 04:00;Torchiarolo - Fanin     ;;18.80;;;9.89;8.05;;;;2.84
