_id,nome_centralina,indirizzo,netcd,statcd,nome_comune,nome_provincia,sigla_provincia,coordinate,longitude,latitude,sigla,nome,unita_misura,soglia,soglia_alert
70,Brindisi - Perrino,Via Crati,222,59,Brindisi,Brindisi,BR,"E:749892.93
N:4502036.97",17.954778,40.631361,CO,Monossido di carbonio,mg/m³,10.0,12.0
72,Brindisi - Perrino,Via Crati,222,59,Brindisi,Brindisi,BR,"E:749892.93
N:4502036.97",17.954778,40.631361,PM10,Polveri inalabili,µg/m³,50.0,150.0
89,Candela - Ex Comes,,111,54,Candela,Foggia,FG,"E:
N:",15.523055,41.173055,NO2,Biossido di azoto,µg/m³,200.0,300.0
93,Casamassima - LaPenna,Via Lapenna,111,41,Casamassima,Bari,BA,"E: 661589
N: 4535223",16.920731,40.953154,O3,Ozono,µg/m³,120.0,180.0
4,Altamura - Via Santeramo,"Via Golgota, Altamura",111,43,Altamura,Bari,BA,"E: 631558
N: 4520820",16.561015,40.828848,PM10,Polveri inalabili,µg/m³,50.0,150.0
18,Bari - Kennedy,Piazza R. Kennedy,111,6,Bari,Bari,BA,"E: 656105
N: 4551478",16.858905,41.099593,O3,Ozono,µg/m³,120.0,180.0
41,Barletta - MM Ipercoop,,111,58,Barletta,BAT,BT,"E:
N:",16.293055,41.318333,PM2.5,Polveri respirabili,µg/m³,,
69,Brindisi - SISRI,Via Curie,222,38,Brindisi,Brindisi,BR,,17.975041,40.624738,SO2,Biossido di zolfo,µg/m³,350.0,125.0
84,Candela - Scuola,,111,53,Candela,Foggia,FG,"E:
N:",15.519444,41.133055,NO2,Biossido di azoto,µg/m³,200.0,300.0
90,Candela - Ex Comes,,111,54,Candela,Foggia,FG,"E:
N:",15.523055,41.173055,O3,Ozono,µg/m³,120.0,180.0
103,Cisternino - Via Croce,via Benedetto Croce,222,56,Cisternino,Brindisi,BR,"E: 703972
N: 4513011",17.415833,40.742777,O3,Ozono,µg/m³,120.0,180.0
106,Foggia - Via Rosati,"Via Giuseppe Rosati, 139",111,123,Foggia,Foggia,FG,"E: 545819
N: 4589475",15.548611,41.455555,C6H6,Benzene,µg/m³,5.0,10.0
112,Francavilla Fontana - Via Filzi,Via Fabio Filzi,222,52,Francavilla Fontana,Brindisi,BR,"E:
N:",17.588331,40.529163,NO2,Biossido di azoto,µg/m³,200.0,300.0
124,Guagnano - Villa Baldassarri,Villa Baldassarri,222,13,Guagnano,Lecce,LE,"E:751513
N:4478431",17.964477,40.418525,PM10,Polveri inalabili,µg/m³,50.0,150.0
73,Brindisi - Perrino,Via Crati,222,59,Brindisi,Brindisi,BR,"E:749892.93
N:4502036.97",17.954778,40.631361,SO2,Biossido di zolfo,µg/m³,350.0,125.0
74,Brindisi - Cappuccini,Via Cappuccini,222,60,Brindisi,Brindisi,BR,"E:747098.96
N:4501881.83 ",17.921778,40.630917,CO,Monossido di carbonio,mg/m³,10.0,12.0
97,Ceglie Messapica - Via Martina,via Martina  (Scuola Elementare Papa Giovanni XXIII ),222,55,Ceglie Messapica,Brindisi,BR,"N: 4502847
E: 712432",17.5125,40.649166,CO,Monossido di carbonio,mg/m³,10.0,12.0
100,Ceglie Messapica - Via Martina,via Martina  (Scuola Elementare Papa Giovanni XXIII ),222,55,Ceglie Messapica,Brindisi,BR,"N: 4502847
E: 712432",17.5125,40.649166,PM2.5,Polveri respirabili,µg/m³,,
111,Francavilla Fontana - Via Filzi,Via Fabio Filzi,222,52,Francavilla Fontana,Brindisi,BR,"E:
N:",17.588331,40.529163,C6H6,Benzene,µg/m³,5.0,10.0
147,Maglie - I.T.C. De Castro,"Via Don. L. Sturzo, 4",222,45,Maglie,Lecce,LE,E: 780702; N: 4446683,18.294098,40.123636,SO2,Biossido di zolfo,µg/m³,350.0,125.0
3,Altamura - Via Santeramo,"Via Golgota, Altamura",111,43,Altamura,Bari,BA,"E: 631558
N: 4520820",16.561015,40.828848,O3,Ozono,µg/m³,120.0,180.0
34,Barletta - Casardi,via Casardi,111,57,Barletta,BAT,BT,"E: 607646
N: 4574709",16.286111,41.316666,PM10,Polveri inalabili,µg/m³,50.0,150.0
